text,terms,lab_sim
"other than the crappy service from two individuals, it's great.","[('service', None)]",0.49015966
i've never felt more unwelcome than last month at jimmy's bronx cafe.,"[(""jimmy's bronx cafe"", None)]",0.42932266
"luckily we saved room for the bbq salmon, sea bass and crispy duck.","[('crispy duck', None), ('sea bass', None), ('bbq salmon', None)]",0.52910346
and yes dal bukhara is so dam good and so are all the kababs.,"[('dal bokhara', None)]",0.26539767
i've been coming here as a child and always come back for the taste.,"[('taste', None)]",0.43267393
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"[('tuk tuk', None)]",0.4371338
"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.","[('lizard', None), ('mussels', None), ('prosecco', None)]",0.2878354
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","[('creme brulee', None)]",0.4639177
the food always tastes fresh and served promptly.,"[('food', None), ('served promptly', None)]",0.61912155
the pizza here is delicious.,"[('pizza', None)]",0.5254639
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!","[('delivery', None)]",0.46395588
but who says murray's is anything about service.,"[('service', None)]",0.32681078
i have never been disappointed in the red eye.,"[('red eye', None)]",0.2067497
"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","[('service', None)]",0.5800273
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[('pizzaria', None), ('mozzarella', None)]",0.45111725
its an excellent place to relax and the food is one of the best in the city of new york.,"[('place', None), ('food', None)]",0.6698606
"service is friendly, and never had a problem walking in and getting a table.","[('service', None)]",0.4496451
the atmosphere was crowded but it was a great bistro-type vibe.,"[('bistro-type vibe', None), ('atmosphere', None)]",0.46866235
"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","[('waitress', None)]",0.44289052
the food was bland oily.,"[('food', None)]",0.52233344
"what is even better, is that the prices are very affordable as well, and the food is really good.","[('price', None), ('food', None)]",0.6713026
the fish is fresh but the variety of fish is nothing out of ordinary.,"[('variety of fish', None)]",0.27601257
suan has challenged this loyalty.,"[('suan', None)]",0.1584827
"and kruno, the beverage manager is the best bartender i have yet to come across.","[('bartender', None)]",0.4244455
"the food, drinks and service are clearly among the best in the city.","[('service', None), ('drinks', None), ('food', None)]",0.6261068
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","[('ambiance', None), ('service', None)]",0.6293764
"last time i went here, the waitress didn't come back after taking our order.","[('waitress', None)]",0.5526051
try the tandoori salmon!,"[('tandoori salmon', None)]",0.4494671
"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[('atmosphere', None)]",0.4693538
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","[('space', None), ('service', None)]",0.6457423
"have recommended the place to friends, always gets good response.","[('response', None)]",0.43834227
i love the atmorphere @ peep!,"[('peep', None)]",0.22998099
it could have been handled better.,"[('handled', None)]",0.22098483
the service was attentive and her suggestions of menu items was right on the mark.,"[('menu items', None), ('service', None)]",0.4366578
"even after getting pushed out by the no-class famous ray's, sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the outstanding pizza!","[(""ray's"", None)]",0.36474743
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","[('service', None), ('environment', None)]",0.47012898
"we had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.","[('crawfish', None)]",0.48316687
i had the pad thai and the noodles were sticky.,"[('pad thai', None)]",0.40117955
"among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.","[('5th avenue', None), ('value', None)]",0.5481308
"frankly, when you compare what you can have here for lunch, versus mcds or so many other sandwich shops in the city, there is no comparison.","[('mcds', None)]",0.49083394
"if you're craving for haru's great food, especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!","[('haru', None)]",0.5508567
the food is great.,"[('food', None)]",0.764036
"lunch came with pickels and slaw, no extra charge.","[('slaw', None), ('pickels', None)]",0.4418189
decent wine at reasonable prices.,"[('wine', None), ('price', None)]",0.5547593
all conveniently delivered right to the door.,"[('delivered', None)]",0.35352212
even the wine by the glass was good.,"[('glass', None), ('wine', None)]",0.48543134
would have rather tried terrace in the sky or water club for that price,"[('price', None), ('terrace', None)]",0.41403714
"i also ordered the change mojito, which was out of this world.","[('change mojito', None)]",0.40922475
okay service.,"[('service', None)]",0.27815476
the only thing more wonderful than the food (which is exceptional) is the service.,"[('service', None)]",0.7725469
"the food was just awful, atrocious actually.","[('food', None)]",0.5324924
the soup for the udon was soy sauce and water.,"[('udon', None)]",0.39466065
"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","[('calamari', None)]",0.46923944
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","[('rolls', None), ('sashimi', None), ('crab dumplings', None), ('sushi', None)]",0.46352944
planet thai is great!,"[('planet thai', None)]",0.42007965
the service is awful.,"[('service', None)]",0.39911264
just ignore the trendy wannabes.,"[('trendy wannabes', None)]",0.124807045
amma has the worst value for money i have experienced in nyc over the past 2 years.,"[('value for money', None)]",0.21429437
"i am not the most experienced person when it comes to thai food, but my friend who took me there is.","[('thai food', None)]",0.5265438
i think this would be a pretty good spot if it were not so overpriced and overrated.,"[('price', None)]",0.33274877
the pizza is good though.,"[('pizza', None)]",0.59052455
bottles of wine are cheap and good.,"[('bottles of wine', None)]",0.44212997
walk-ins are risky too.,"[('walk-ins', None)]",0.16275173
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.","[('pumkin tortelini', None)]",0.5438766
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,"[('crabmeat lasagna', None)]",0.45403272
very good service and very good prices.,"[('service', None), ('prices', None)]",0.4714257
"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","[('service', None)]",0.59897953
ess-a-bagel (either by sty-town or midtown) is by far the best bagel in ny.,"[('sty-town', None), ('midtown', None)]",0.43887752
our food was great too!,"[('food', None)]",0.6379514
"please try the filet mignon, its just the most tender piece ever.","[('filet mignon', None)]",0.38387424
"we were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.","[('bartender', None)]",0.30390206
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,"[('beef cubes', None)]",0.46091574
this has got to be one of the most overrated restaurants in brooklyn.,"[('brooklyn', None)]",0.59742343
"the service, wine selection, ambiance are all outstanding and deserve recognition.","[('wine selection', None), ('ambiance', None), ('service', None)]",0.42622092
"we were seated promptly as we had reservations, however after that the service was slow.","[('service', None)]",0.40420526
"it's really also the service, is good and the waiters are friendly.","[('waiters', None), ('service', None)]",0.6739383
suan was a recommendation that i am glad we heeded.,"[('suan', None)]",0.3049917
"the food was pretty good, but a little flavorless and the portions very small, including dessert.","[('portions', None), ('food', None)]",0.6453463
"it is set far from the small street it's on, and there is no traffic noise.","[('traffic noise', None)]",0.14281449
i felt as though i were eating in paris.,"[('paris', None)]",0.4545646
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.,"[('shanghai', None)]",0.5953941
"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.","[('service', None), ('food', None), ('ambience', None)]",0.6155436
nice value.,"[('value', None)]",0.22773303
gigino's in wagner park is so enjoyable.,"[('wagner park', None)]",0.4178895
all the nyu students love this place so it makes for a fun young atmosphere.,"[('nyu students', None)]",0.3502017
the food here does a great service to the name (cantonese that is...).,"[('service', None), ('food', None)]",0.54791105
"if that's a problem, go to mcdonald's and destroy your insides.","[(""mcdonald's"", None)]",0.1980661
the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,"[('quality', None), ('prix fixe menu', None), ('quantity', None)]",0.35354188
"i work near-by, and they have the best oatmeal in the neighborhood- not a packaged or quick-cooked item.","[('oatmeal', None)]",0.4560732
"the menu looked good, except for offering the chilean sea bass, but the server does not offer up the specials that were written on the board outside.","[('chilean sea bass', None), ('menu', None)]",0.5151696
sexy.,"[('sexy', None)]",0.23466165
"i will have to say, this bengali fast food joint is clearly my favorite.","[('bengali fast food joint', None)]",0.56102514
"it costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.","[('roll', None), ('size', None)]",0.29458115
"even with john's and joe's around the corner, this place will make a name for itself.","[(""john's and joe's around the corner"", None), ('this place will make', None)]",0.3541944
"it melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.","[('consistency', None)]",0.33876672
"when he finally did, he was unable to make a gin and tonic -- couldn't find tonic.","[('tonic', None), ('gin', None)]",0.19018008
"the dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of chinese here).","[('little dishes', None), ('dim sum', None)]",0.5326133
"the service is ok, some of the people didn't get what they asked for.","[('service', None)]",0.38136548
if you want good authentic thai this place is not the place to go.,"[('thai', None)]",0.45577872
the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,"[('edamame puree', None)]",0.6384003
one of the more authentic shanghainese restaurants in the us definitely the best in manhattan chinatown.,"[('manhattan chinatown', None)]",0.5467473
staff is very accomodating.,"[('staff', None)]",0.2978516
--eat club is a roving group of nyc gluttons,"[('nyc gluttons', None)]",0.40180036
"if you like sakagura but you feel it's too much, you'd better try yokocho.","[('sakagura', None)]",0.24395096
very popular style izakaya (sake and small portion of sake-friendly dishes ).,"[('izakaya', None)]",0.49801573
hurley's is like cheers where everyone knows your name and they are actually glad you came.,"[(""hurley's"", None)]",0.23664907
not pretentious and very economical.,"[('pretentious', None)]",0.3850503
"the food was terrific and the service classy, attentive, without being overbearing.","[('service', None), ('food', None)]",0.6768174
this is an amazing place to try some roti rolls.,"[('roti rolls', None)]",0.45988578
fresh ingredients and everything is made to order.,"[('everything', None), ('ingredients', None)]",0.3962189
quick and friendly service.,"[('service', None)]",0.41764793
somewhat pricey but what the heck.,"[('pricey', None)]",0.35511637
"try the hot dogs too, they're snappy and delicious.","[('hot dogs', None), ('snappy', None)]",0.50361246
delivery is fast too.,"[('delivery', None)]",0.4112895
"being from the south, there aren't any good delis in my area and while watching foods across america on pbs i found out about katz's deli.","[('katz', None)]",0.49695563
"the noise level was unbearable, conversation impossible.","[('noise level', None), ('conversation', None)]",0.21335591
personal pans are the perfect size for those hungry nights.,"[('personal pans', None), ('size', None)]",0.44479996
highly recommended is the spicy fried clam rolls and spider rolls.,"[('clam rolls', None), ('spider rolls', None)]",0.4669044
the atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,"[('atmosphere', None)]",0.4599965
"when we stumbled on leon, we thought that we had found quite the gem but, we were certainly wrong.","[('leon', None)]",0.111420825
just got back from lunch at tamarind and it was excellent.,"[('tamarind', None)]",0.5972723
"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.","[('taj mahal', None)]",0.48890278
try the cheesecake!,"[('cheesecake', None)]",0.41735503
"david, daytona beach, fl","[('david', None)]",0.12978023
great indian food and the service is incredible.,"[('indian food', None), ('service', None)]",0.6860725
rosario's is without a doubt one of the greatest pizzerias in existence.,"[(""rosario's"", None)]",0.5380931
"decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.","[('wine list', None), ('served', None), ('decor', None), ('food', None), ('presentation', None)]",0.563467
"i had the salmon dish and while it was fine, for the price paid, i expected it to have some type of flavor.","[('salmon dish', None), ('price', None)]",0.5717665
we ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.,"[('tuna melt', None)]",0.41305247
the waiters were not attentive except that the bill turned up on the table before we were finished.,"[('bill', None)]",0.36066902
the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty.,"[('hudson river', None), ('green lawns', None)]",0.43895763
we generally like good restaurants and eat out often but kai was way to expensive for what we got.,"[('kai', None)]",0.5467659
the sangria was pretty tasty and good on a hot muggy day.,"[('sangria', None)]",0.51459044
don't eat here unless you're starving for thai food and you work next door.,"[('thai food', None)]",0.46664256
this tiny williamsburg spot is always pleasantly surprising.,"[('williamsburg', None)]",0.46218082
"for the people who want great food plus great service, roxy is a place to avoid!","[('service', None), ('food', None)]",0.571499
i had the best ravioli ever.,"[('ravioli', None)]",0.447406
"while the menu isn't especially groundbreaking, everything i've tried so far has been well-executed and tasty.","[('menu', None), ('execution', None)]",0.51704013
ive been here a bunch of times now and the service is always outstanding.,"[('service', None)]",0.48674423
the bill is approximately $25 for 2 at lunch without drinks.,"[('bill', None)]",0.30393955
"quite frankly, this is some of the worst sushi i have ever tried.","[('sushi', None)]",0.45983753
"the food is great, service is ok.","[('service', None), ('food', None)]",0.76260436
"the overall price tag was very very expensive, something i did expect.","[('price tag', None)]",0.2775352
"spice is great thai food, love the inexpensive appetizers.","[('thai food', None), ('spice', None)]",0.5738985
the service was attentive.,"[('service', None)]",0.4368571
fish was overdone.,"[('fish', None)]",0.29421675
we visited bread bar during january restaurant week and were so pleased with the menu selections and service.,"[('menu selections', None), ('service', None)]",0.6417298
the establishment scores big points in presentation and style.,"[('style', None), ('presentation', None)]",0.27340898
"the rest of the dim sum, though pricey by chinatown standards, is worth it.","[('pricey', None), ('dim sum', None)]",0.41644067
good food.,"[('food', None)]",0.56716526
"the wait staff is very friendly, if not overly efficient.","[('wait staff', None)]",0.40162736
the dim sum however was very good.,"[('dim sum', None)]",0.30034363
service has always been friendly and efficient.,"[('service', None)]",0.44516027
prices are very good.,"[('price', None)]",0.4448934
plain and simple it's bad thai food.,"[('thai food', None)]",0.51530343
"the dim sum was so-so, but not spectacular.","[('dim sum', None)]",0.27539307
the food was so-so.,"[('food', None)]",0.57672745
"the waitress, seems to be more concerned of looking good than actually waitressing.","[('waitress', None)]",0.36674276
food-awesome.,"[('food-awesome', None)]",0.5964545
"good music, great food, speedy service affordable prices.","[('music', None), ('service', None)]",0.5861817
"there was a small wait, but shorter than i expected.","[('wait', None)]",0.1857101
the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"[('lobster sandwich', None), ('price', None)]",0.44400755
"the beverages were excellent, and the dessert was good.","[('dessert', None), ('beverages', None)]",0.63384366
the hostess and the waitress were incredibly rude and did everything they could to rush us out.,"[('waitress', None)]",0.47023514
"next time, we wouldn't dare ordering anything else other than some simple asian appetizers and drinks.","[('asian appetizers', None), ('drinks', None)]",0.5723018
i must say the view of nyc is so beautiful!,"[('view nyc', None)]",0.35623407
"if you'd like to have a nice light meal with an asian accent, long tan is a good place on the slope.","[('asian accent', None), ('long tan', None)]",0.45463434
"otherwise, this place has great service and prices and a nice friendly atmosphere.","[('service', None), ('price', None)]",0.6007847
highly recommend this as great value for excellent sushi and service.,"[('service', None), ('value', None), ('sushi', None)]",0.6324341
this place would be so much better served by being run by a group that actually understands customer service.,"[('customer service', None)]",0.33587426
a++ the service was good to excellent along with the attitude.,"[('attitude', None), ('service', None)]",0.40535924
the food is awesome - definitely try the striped bass.,"[('striped bass', None)]",0.5732859
"the music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as i did, i got a whiff of corriander.","[('music', None)]",0.24179465
black white shakes came out good also.,"[('black white shakes', None)]",0.330136
it's simply the best meal in nyc.,"[('nyc', None)]",0.68036807
"the seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.","[('seating', None)]",0.5280078
i ordered the chu chu curry and my friend ordered the pad thai chicken.,"[('chu chu curry', None)]",0.47808504
tuk tuk is my second favorite neighborhood thai place (the first being joya).,"[('tuk tuk', None)]",0.38608268
"however, they've got the most amazing pastrami and the soups hit the spot.","[('pastrami', None)]",0.517799
great bagels made the old-fashioned way.,"[('bagels', None)]",0.51140314
"this is some really good, inexpensive sushi.","[('sushi', None)]",0.5357134
"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.","[('bagles', None)]",0.41314504
"i wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.","[('quality', None), ('food', None)]",0.5996684
for $600 ( the most we have ever paid) not even waving a magic wand will ever get us back for a repeat performance.,"[('wand', None)]",0.12954828
"the decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.","[('decor', None), ('presentation', None), ('price', None), ('food', None)]",0.5802082
the waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,"[('waitstaff', None)]",0.54842246
the setting is casual and romantic.,"[('setting', None)]",0.316188
"terrible, terrible management - deserves to be shut-down.","[('management', None)]",0.25221232
"great friendly service, fast seating, fast delivery, excellent sushi.","[('delivery', None), ('service', None), ('sushi', None), ('seating', None)]",0.7370055
"the italian food has flavor (that can be sort of surprising on the ues), and the service turns from a nightmare to attentive,they sort of remind me of the ny yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...","[('service', None), ('italian food', None)]",0.5702211
"as many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.","[('order', None)]",0.33716953
mizu is home to creative and unique rolls not to found anywhere else.,"[('mizu', None)]",0.27190265
baluchi's has solid food and a nice decor at reasonable prices.,"[('decor', None), ('price', None), ('food', None)]",0.5641137
"emilio, the owner, is often sitting in the front table greeting guests as they come and go.","[('the owner', None), ('emilio', None)]",0.3362838
"moules were excellent, lobster ravioli was very salty!","[('lobster ravioli', None)]",0.5144278
pastrami or corned beef are juicy and piled high (ask for extra rye bread).,"[('pastrami', None), ('corned beef', None)]",0.4200043
"the food was just ok, at least for what food was available.","[('food', None)]",0.6546287
the waitress was very patient with us and the food is phenomenal!,"[('waitress', None)]",0.66440594
"the ambience was nice, but service wasn't so great.","[('service', None)]",0.5303017
the people that work there are always so friendly you forget you are in new york sometimes.,"[('people', None), ('work', None)]",0.3671957
the location and ambience is ok but the food is what makes up for it.,"[('location', None), ('food', None), ('ambience', None)]",0.6419474
i love and i know gourmet food by excellence!,"[('gourmet food', None)]",0.61638325
he offers subpar service and has no personality.,"[('service', None), ('personality', None)]",0.17993192
diner food at bistro prices is a bummer....,"[('bistro prices', None)]",0.5931484
"wow! how have i missed this one ,tried long tan last week for the first time and now know what the ny times and many more in the neighborhood already knew.","[('tan', None)]",0.2830642
"go there on an empty stomach and leave feeling like a baby veal calf(ok bad joke), but you will see.","[('veal calf', None)]",0.2508999
"while we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.","[('scream', None)]",0.5139282
"the first time the sushi was outstanding, the second time it was a little bland.","[('sushi', None)]",0.545679
"delicious bagels, especially when right out of the oven.","[('bagels', None)]",0.47006482
our server was very helpful and friendly.,"[('service', None), ('server', None)]",0.37526548
try green curry with vegetables.,"[('green curry', None)]",0.3822811
much more reasonably priced too!,"[('price', None)]",0.35617998
"if you venture off the island of manhattan and can't seem to find a great italian restaurant, drive to corona.","[('manhattan', None)]",0.5128994
"the food was not very tasty, the portioins were tiny even for such a high quality restaurant.","[('food', None), ('quality portioins', None)]",0.62871957
my friend from milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,"[('milan', None)]",0.37039414
"the pad thai is excellent here, as well.","[('pad thai', None)]",0.44437212
big and gawky on the outside.,"[('gawky', None)]",0.22873463
i have been to mary's many times and i like it.,"[(""mary's"", None)]",0.51479626
"searching to get out from the cold, freezing weather, we went into what we thought was a deli.","[('deli', None)]",0.4092953
went here last night and had a pleasant experience.,"[('experience', None)]",0.5138952
"we parked on the block of nina's the place looked nice, with people obviously enjoying their pizzas.","[(""nina's"", None)]",0.5517367
"the food is o.k., but not any better than what you get at a good neighborhood restaurant.","[('food', None)]",0.7224463
we had the pot-stickers which were great and a tempura dish that was great.,"[('pot-stickers', None), ('tempura dish', None)]",0.52951175
i think the stuff was better than disney.,"[('disney', None)]",0.29570654
"after reading the good reviews of this restaurant, i decided to give it a try with two friends.","[('reviews', None), ('restaurant', None)]",0.700979
"orsay, is without a doubt one of the best values for authentic french food in nyc.","[('orsay', None), ('value', None)]",0.5644371
"well, their deliveries take for ever and the food is usually cold.","[('delivery', None)]",0.5108997
the staff is no nonsense.,"[('staff', None)]",0.25729072
chinese desserts are known for healthful benefits in addition to the sweetness.,"[('chinese desserts', None)]",0.3370248
and really large portions.,"[('portions', None)]",0.4998919
this is a great thai restaurant with a very friendly staff.,"[('thai restaurant', None), ('staff', None)]",0.62319905
"have eaten at ginger house several times, and it's always good.","[('ginger house', None)]",0.5448669
"i recommend the garlic shrimp, okra (bindi), and anything with lamb.","[('lamb', None), ('okra', None)]",0.49242392
"as a japanese native, i've lived in the tristate area for over 8 years, but i was just so amazed at this place.","[('tristate area', None)]",0.3634441
"to give you an idea of how good we thought it was, we ended up going to ping's three weekends in a row!!!","[('ping', None)]",0.29366544
the food is great and authentic.,"[('quality', None), ('food', None)]",0.73403734
love yuka.,"[('yuka', None)]",0.27783364
