text,labs,lab_sim
the best burger i have had in the village.,[],0.6206397
i have been twice to this restaurant.,[],0.61980706
"the food is expensive, but worth every bite.",[],0.61894506
"if you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.",[],0.6181228
"nice restaurant overall, with classic upscale italian decor.",[],0.6166683
"great selection of wine, and seafood.",[],0.6164596
terrific menu full of unique rolls and special dishes.,[],0.6153588
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",[],0.6148516
delicious simple food in nice outdoor atmosphere.,[],0.61478835
all in all the food was above average and i would return to see how they operate with four or less dinners.,[],0.61417264
excellent lunch buffet for only $6.95.,[],0.61403424
"this restaurant is not worth the time, effort, or money to say the least.",[],0.61398834
i love and i know gourmet food by excellence!,[],0.6139612
the neighborhood was nice though so check out another restaurant instead.,[],0.61377776
it is by far my favorite restaurant in brooklyn.,[],0.6134879
just moved to the neighborhood and we've been trying all the west village sushi restaurants.,[],0.61280406
"i took my girlfriend there for her birthday last night and we had a relaxing, really good meal.",[],0.611797
the server was really cool and served us our food and drinks with a smile.,[],0.6114586
"as a fan of thai, i have tried quite a few different restaurants in nyc and this one was definitely the worst.",[],0.61093736
my husband and i have been there a couple of times and each time we sat at the sushi bar (chef yoshi) and ordered everything ala carte.,[],0.6103044
i stumbled upon this great pizzeria as i explored my new neighborhood.,[],0.608891
should you happen to be impressed by the cuisine definitely try it.,[],0.60857767
not a great place for family or general dining.,[],0.6072866
"as much as i like the food there, i can't bring myself to go back.",[],0.607166
i was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,[],0.6070496
"great food, lt's of it, more then one person can eat!",[],0.60666263
"small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",[],0.6063735
"this is definitely a place that provides the best experience, though, to both a-listers and people walking in off the street.",[],0.60545546
"if i could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in nyc.",[],0.60538584
the garlic mashed potatoes are hands down the best in the city!,[],0.6048569
by far the best salad i have had in a fast food restaurant.,[],0.6044215
this place has realy fresh sushi and a nice large menu of japanese classic cuisine.,[],0.60413206
"great idea and base for restaurant, but work on the details, people who think this was good need to go back to the shore towns and rethink what it should have tasted like.",[],0.6034683
we both opted for a pasta dish and they were served timely and fresh.,[],0.6032436
"however, i do not understand the extraordinary hype about this restaurant.",[],0.6031032
"while the ambiance and atmosphere were great, the food and service could have been a lot better.",[],0.6024065
"i was turned on to this restaurant by a fellow foodie friend of mine, and have been going back regularly ever since.",[],0.6019262
big and soft as well as good lunch food.,[],0.6013436
"be sure to try the seasonal, and always delicious, specials.",[],0.6009125
no gimmicks here -- the food speaks for itself in its freshness and preparation.,[],0.60047996
"i have had so many dinners here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups.",[],0.60027504
i ate here for the first time and absolutely loved it!,[],0.60017604
(besides that there should be more restaurants like it around the city).,[],0.5990541
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,[],0.59902424
i often go there to eat with my family.,[],0.5983861
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",[],0.5980742
we visited orsay during ny restaurant week and tried their $35 menu.,[],0.59790635
"it was huge, delicious, fresh, and will be the reason we return.",[],0.59768236
the restaurant is rather small but we were lucky to get a table quickly.,[],0.5975926
could be pricey without a prix fixe meal.,[],0.5968814
love the food.,[],0.59684294
but they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).,[],0.5966541
i've been here 3 times for lunch and it is one of my favorites in the city.,[],0.59663534
ou must try this restaurant.,[],0.5956604
"this place started off a little iffy, but is now one of my favorite indian restaurants in nyc (and i'm indian, so i should know).",[],0.5951848
tasty but expensive.,[],0.5951707
"this wasn't the expected menu comprised only of pad thai and tom yum soup, but i thought that was what made the place so special.",[],0.59516543
"the burger was great, also.",[],0.5942764
"the staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",[],0.5937539
this has got to be one of the most overrated restaurants in brooklyn.,[],0.59358025
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience.,[],0.5935743
this was the worst dining experience i've ever had.,[],0.5933254
bleecker st pizza is the best!,[],0.59265065
"i've been to this restaurant more than a dozen times and when i'm craving for pho, lemon grass chicken or beef cube on rice, this is the place to go.",[],0.5922919
"i've been to at cafe spice probably 5-8 times, it is probably still the best indian restaurant around union square.",[],0.5922706
we won't go to this place again for a good meal.,[],0.5921283
what i didn't like was how the food came right after it was ordered.,[],0.5917362
food-awesome.,[],0.59167445
at first i was slightly skeptical because it was a sushi restaurant in the middle of nyc.,[],0.59133255
"the food however, is what one might expect.",[],0.5911333
all the food was hot tasty.,[],0.5909525
the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of.,[],0.59049594
they have a huge selection of different cream cheeses and all of their salads are great.,[],0.58941936
this place has got to be the best japanese restaurant in the new york area.,[],0.5883072
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,[],0.58735764
we had a most unpleasant experience at this restaurant.,[],0.586821
"i live nearby and when they first opened, i ate there a lot.",[],0.5867874
i would highly recommend this place to everyone for any occasion!,[],0.586571
with the theater 2 blocks away we had a delicious meal in a beautiful room.,[],0.5859694
food was ok - fish was cooked well.,[],0.5854665
we had the lobster sandwich and it was fantastic.,[],0.5849822
"despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",[],0.5845655
"so much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",[],0.58451885
finally a reliable chinese restaurant!,[],0.5842718
diner food at bistro prices is a bummer....,[],0.58244115
"while certain staples are excellent (the burger, some of the pastas), the food is not really the point.",[],0.5820508
this is my favorite italian restaurant in all of new york city.,[],0.58197206
the food was spicy and delicious.,[],0.581386
"i have never eaten in the restaurant, however, upon reading the reviews i got take out last week.",[],0.58107495
this restaurant used to be our regular thursday night dinner location.,[],0.5806886
"while this is a pretty place in that overly cute french way, the food was insultingly horrible.",[],0.5801993
you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here.,[],0.5785054
if your into thai..you cannot miss this great restaurant.,[],0.5782686
we ended our great experience by having gulab jamun (dessert) recommended by the waiter.,[],0.57795477
"this place is really trendi but they have forgotten about the most important part of a restaurant, the food.",[],0.5778228
it's all about the food !!,[],0.5777592
"with the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",[],0.5777467
"that is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",[],0.5773998
"if you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.",[],0.57649565
"the owner is very friendly and a great guy, go try his pizza, you'll like it!",[],0.57559294
wouldn't recomend it for dinner!,[],0.57509655
"if it isn't for the food (a+++), it must be the service or the ambience.",[],0.5749343
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.,[],0.5745185
"we figured we never had argentinian pizza before so we grabbed our lunch there, sharing a large pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",[],0.5744184
this is one great place to eat pizza more out but not a good place for take-out pizza.,[],0.57436
you could get a much better dining experience for the same amount of money in a lot of other french bistros.,[],0.5735028
their wines by the glass are a great accompaniment and you can eat like a king with wine for under $30.,[],0.57335395
the desserts are more appealing then stuffy overpriced french restaurants.,[],0.57308203
i have to say i have never had a disapointing meal here.,[],0.57307476
"i've had the lunch buffet at chennai a couple of times, when i have been in the neighborhood.",[],0.5729083
it's a rather cramped and busy restaurant and it closes early.,[],0.5726805
"fresh, authentic, french cuisine in substantial portions.",[],0.57190996
"i'm no food critic, but i'd like to think i have a tiny bit of experience under my belt having lived in ny for the last 11 years.",[],0.57138914
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",[],0.57119966
i have been about 4 times and have always had a great meal.,[],0.5704869
"my friends and i experienced amazing cheese and a delicious, new summer menu at artisanal last night.",[],0.5704865
"the bread and lamb chops i had before the meal were quite good, however.",[],0.56992096
"as a long-time patron of mamoun's, i always figured that i had found the best late night food spot in the city.",[],0.56944215
its a great place for a casual date or to entertain clients for lunch.,[],0.56939
"even if the food wasn't this good, the garden is a great place to sit outside and relax.",[],0.56884
we ate at this thai place following the reviews but very unhappy with the foods.,[],0.5686498
i've had pizza both times and the caprese salad appetizer.,[],0.5682336
"great eats, good times.",[],0.5670238
"all in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",[],0.5668231
both the fresh mozzerella slices and the plain cheese slice are phenomenal.,[],0.566729
we go on mondays for the prix fixe and our experience with the food has been comparable to blue ribbon.,[],0.56638473
went to ottimo and was expecting outstanding pizza (as i love la pizza fresca).,[],0.566361
the food was so-so.,[],0.56612647
"the menu consisted of standard brassiere food, better then places like balthazar etc.",[],0.565939
"unless you are eating in the pizzeria side of this place, and are not in a rush, this place is a bad idea.",[],0.56574166
the rest of the menu is limited by everything is good eats.,[],0.5655193
"for myself and family we would only go here to celebrate an occassion, i do prefer smaller, quiter restaurants.",[],0.5651591
this restaurant was way overhyped.,[],0.565112
"admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",[],0.5643854
i have eaten at many pizza places around nyc and this is hands down the worst.,[],0.5642925
it's a much more grown up restaurant compared to the rest of the street.,[],0.56415284
i just wonder how you can have such a delicious meal for such little money.,[],0.56387025
"all of it was simply amazing, unique and tasty and best of all it didn't break the bank.",[],0.5629914
made my dining experience uncomfortable.,[],0.5627725
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan.,[],0.56275654
"the production is a symphony, alot of fun to experience.the food sublime for the most part.",[],0.5624944
"only complaint would be that at an average cost of $12-$15 per meal, i'd like not to have to worry about finding a seat!",[],0.5623154
i went there in late afternoon for some bite size food and refleshment with my date.,[],0.5619404
"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",[],0.5615856
"no food snobs allowed, this place is for people who appreciate good food.",[],0.56130373
simple comfort food and what hot and lage portions.,[],0.56097186
i consider the best grand sichuan restaurant in nyc.,[],0.560682
"in terms of the food itself -- nothing special, we limited ourselves to several appetizers.",[],0.56062543
"we have tried every thai restaurant between atlantic avenue and 4th streets, and joya is the best.",[],0.5606162
i had been searching really hard for a restaurant in new york where i could really feel unwanted and ignored and i finally found it!,[],0.5604538
i have tried literally every restaurant on curry row.,[],0.5603297
"place should also have a 1,2,3 chili rating to be more authentic...",[],0.56007737
i recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,[],0.5599844
"they sell special sushi, everything have a topping, sauce and etc.",[],0.5583827
for sure i will keep coming back because i feel really this restaurant deserves.,[],0.5577435
"we liked it so much, that we will always make it a point to dine here when we visit new york.",[],0.5576278
"i went at 6:00 pm specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",[],0.55756354
i do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,[],0.5573018
the wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.,[],0.55686945
"if you are the type of person who likes being scared and entertained, this is a great place to go and eat.",[],0.5568082
"this is the best secret place in midtown', i heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last tuesday.",[],0.5566484
"it's constantly open, catering to the pakistani cabbies lined up on crosby st., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).",[],0.55575573
"if you were there when it first opened, give this restaurant a second chance.",[],0.55554813
"everything is delicious, though, my gf and i come here once a week sometimes- you will get addicted!",[],0.55553955
the lobster sandwich is good and the spaghetti with scallops and shrimp is great.,[],0.55508184
"i am not a vegetarian but, almost all the dishes were great.",[],0.5548266
"orsay, is without a doubt one of the best values for authentic french food in nyc.",[],0.55472326
"we try frequenting new restaurants all over the city, but any time that we visit a restaurant other than roth's we are always disappointed.",[],0.55460143
"ok, for all of us growing up in the village of nyc, we have spoiled by a plethora of restaurants, most of which stay open very late.",[],0.5537762
"i have eaten here a handful of times, for no reason besides sheer convenience.",[],0.5531105
"also, top the meal with a delicious and perfect slice of tiramisu.",[],0.5521366
"i would recommend roxy's for that, but not for their food.",[],0.5519682
"only wine and beer are served, but the house varities are actually quite good.",[],0.551833
"the only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",[],0.54977703
"the ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.",[],0.54943365
the grilled cheese at home afterwards was better.!!,[],0.54914117
we were fast to order the appetizer platter since we were very hungry.,[],0.5491243
"the tables are crammed way too close, the menu is typical of any italian restaurant, and the wine list is simply overpriced.",[],0.549072
"this is such a lovely, peaceful place to eat outside.",[],0.5490358
this is the pinnacle of indian fast food (all fast foods in my opinion).,[],0.54864305
there was a great deal for 6 blue point oysters and a beer or glass of wine for $8!,[],0.5483619
"when going out for a nice dinner, i like a nice ambiance as well as very good food.",[],0.5481882
"while this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs.",[],0.5478415
"skip this restaurant, it's a big disappointment.",[],0.5478299
it seems like this is a place the locals like and the people working here liked it too.,[],0.5474128
it's one of our favorite places to eat in ny.,[],0.5472086
i have to say that if this what makes it easier to get a saet a lunch- i dont mind.,[],0.5470481
for an untrendy rip-off- eat here.,[],0.54675686
"i've been to sapphire twice and both times the food was fine, if not good.",[],0.546536
and they have these home made potato chips at the bar that are the most delicious things in the world!,[],0.546523
"i have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",[],0.5464729
definitely not a restaurant to skip!,[],0.5463709
the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,[],0.545801
a cool place to hang with your friends for a couple of healthy drinks and desserts.,[],0.5455426
we always have a delicious meal and always leave feeling satisfied.,[],0.5453778
i have enjoyed everything i have ever gotten and the fish is so fresh and always prepared in a great way.,[],0.54419875
there is also very limited seating and there can be a substantial wait in getting food at peak times.,[],0.5440692
after dealing with subpar pizza all over the kensington neighborhood - i've found little toninos.,[],0.543931
"thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",[],0.5437625
i came to this restaurant expecting to be surprised but left bored and overcharged.,[],0.5434353
i really liked this place.,[],0.54330283
the wine list is extensive and can easily hike up an otherwise reasonably priced meal.,[],0.54300845
instead of wasting your time here: support restaurants that care about food.,[],0.54277796
"nice ambiance, nice little bar, good bartender, francois, and good service.",[],0.5427775
"when i visited my friend who lives in the upper eastside, she recommended that we go to this restaurant.",[],0.54273784
"we parked on the block of nina's the place looked nice, with people obviously enjoying their pizzas.",[],0.5423988
it's the only place you can get yummy authentic japanese comfort food.,[],0.5423241
"my wife and i also enjoyed the spinach, the shanghai low mein, and other attractions.",[],0.54229736
they were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,[],0.5412797
one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.,[],0.5412192
i would highly recommend this place!,[],0.54120815
"next time, we wouldn't dare ordering anything else other than some simple asian appetizers and drinks.",[],0.54107416
the staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,[],0.54093134
"each bite of food at kai was indeed delicious, fresh, and elegant.",[],0.5407359
"a cheap eat for nyc, but not for dosa.",[],0.54058176
"the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass.",[],0.54032296
"best italian food i ever had (and being italian, that means alot).",[],0.54028386
the food is authentic italian - delicious!,[],0.5400578
"so if you want a nice, enjoyable meal at montparnasse, go early for the pre-theater prix-fixe.",[],0.5398055
"i've eaten at pizza gruppo a few times, but more often i order delivery.",[],0.5394241
"better than the bagel shop on the corner, but not worth going out of your way for, in my opinion.",[],0.53906435
after passing by this restaurant for sometime i finally decided to go in and have dinner.,[],0.5388282
i have eaten a lot of pizza here.,[],0.5387699
"looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",[],0.5383668
"we've only eaten in the restaurant once, but we have ordered many times for dinner.",[],0.53809506
"i love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",[],0.5378436
"pizza is terrific, as is homemade pasta.",[],0.53775907
"we didn't even see a menu, as our waiter described both the specials and the main dishes.",[],0.5375714
we generally like good restaurants and eat out often but kai was way to expensive for what we got.,[],0.53736657
we had pam's special fried fish and it was amazing.,[],0.5364967
and its absolutely delicious.,[],0.5363375
a word to the wise - the hoboken health inspector clued me to his findings that this is the cleanest restaurant in town.,[],0.53554714
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",[],0.53548044
"the first time i went, and was completely taken by the live jazz band and atmosphere, i ordered the lobster cobb salad.",[],0.53537565
happy to be a regular at this place and would warmly recommend it to anyone.,[],0.5352991
another plus is most of the entrees are approx.,[],0.535228
"my wife and i have been going to nyc for years and wouldn't miss roxy,s food is expensive but it's new york!",[],0.5347489
"also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",[],0.5335483
"i come from a family of pizzeria owners, and i'm almost ashamed to say that the pizza in fornino's blows my families receipies away.",[],0.53337735
right off the l in brooklyn this is a nice cozy place with good pizza.,[],0.5326639
"great spot, whether looking for a couple of drinks or quiet dinner.",[],0.53240633
i've been to naples 45 for dinner twice.,[],0.532342
the food there are sastifying.,[],0.5320842
always fresh and delicious.,[],0.5318794
brick oven gallery is my pick for best pizza restaurant anywhere.,[],0.53175795
"if you love seafood, you would love this place!",[],0.531573
"the bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.",[],0.53146523
"the wine is always good, the tapas are always yummy, especially with the warm pita bread.",[],0.53120565
my wife had the fried shrimp which are huge and loved it.,[],0.53093475
"based on the reviews on here, it appears that the restaurant is overwhelmed after the 7 pm.",[],0.53088576
this quaint and romantic trattoria is at the top of my manhattan restaurant list.,[],0.5304894
this place is a great bargain.,[],0.5303984
"restaurant snobs need not bother, this is a small, neighborhood kind of place.",[],0.5303572
"for many people, this may not seem like aunthentic thai food because most places in nyc arent quite authentic.",[],0.5298969
we had a great tiem watching the shows and characters and ar food was just what we were looking for.,[],0.5298012
my friend got the mushroom pizza which tasted better.,[],0.52980083
"other guests enjoyed pizza, santa fe chopped salad and fish and chips.",[],0.5292304
i've eaten at many different indian restaurants.,[],0.5290315
a thai restaurant out of rice during dinner?,[],0.5288615
my wife and i ate here earlier this week and have not stopped ranting and raving about the food.,[],0.5287178
"anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.",[],0.528664
stumbled upon this gem of a pizza place and i will be going back frequently.,[],0.5285297
"when my husband and go there, we spend $60.00 (have lobster tails ummmmm need i say more) i can't say any more, it a place you'll never forget if you never go, you'll miss a meal of your life time",[],0.52822644
"they might be all business at the counter when you give your order, but their food says i love you.",[],0.5277319
my mouth starts to water merely thinking about the delight that is this restaurant.,[],0.5277113
all the desserts the group tried got favorable reviews.,[],0.5276324
"have eaten at ginger house several times, and it's always good.",[],0.52671367
"the seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.",[],0.52600574
"this was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",[],0.5258263
great sushi experience.,[],0.52561164
some servers make you feel like they are doing you a favor to bring you the food.,[],0.52548903
"the first time the sushi was outstanding, the second time it was a little bland.",[],0.5252212
"but after last night, spice grill is the only place i'm eating indian cuisine.",[],0.52508056
i would not recommend this place to anyone.,[],0.5247963
it's somewhere you can eat and be happy.,[],0.524554
i really didn't know what to expect for a restaurant that literally overlooks the main hall of grand central.,[],0.5238678
"the pesto pizza was excellent, thin-crust pizza with a nice amount of spicy italian cheese that i'd never heard of before.",[],0.52339256
you must try the shrimp appetizers.,[],0.52294266
"my husband and i ate here after reading reviews here as well as hobokeni.com,",[],0.5226455
on a hot day it was fabulous to stop in and enjoy lunch.,[],0.5225627
i suspect this restaurant is what rao's would be if it hadn't turned exclusive.,[],0.5214132
it is what modern cuisine is all about.,[],0.5207119
"i'm from sichuan, this is the restaurant i recommend going.",[],0.52055776
"for appetizers, i recommend the shrimp fritters and dumplings.",[],0.520553
"good french restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at katz' deli, or mexican food which is supplied by capable restaurants.",[],0.52031535
try their plain pizza with fresh garlic or eggplant.,[],0.51997745
"stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",[],0.51967955
the place is a lot of fun.,[],0.51961344
"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.",[],0.5193577
although we were looking for regular lettuce and some walnuts the salads we got were great.,[],0.51933396
"the menu looked good, except for offering the chilean sea bass, but the server does not offer up the specials that were written on the board outside.",[],0.5192982
"the takeout menu says to keep an eye out for an expanded menu offering more italian dishes, i can't wait!",[],0.51866853
my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal.,[],0.5185613
i go and eat out at many different restaurants and this is one place you have go and try.,[],0.5183614
the menu choices are similar but the taste lacked more flavor than it looked.,[],0.518181
"now at the top of our list, del frisco's steakhouse.",[],0.5181429
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork.,[],0.5180396
"going to ballato's is like coming home and eating in my own kitchen, an absolute delight!",[],0.5178444
the drinks are amazing and half off till 8pm.,[],0.51781875
never in my life did i think that i could be satisfied both in taste and in quantity for $3.00 in nyc.,[],0.5176749
we were sorry to check them off our list as we had enjoyed and recommended the place in the past.,[],0.5173863
"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",[],0.51737416
chennai garden is my favorite indian restaurant in the city.,[],0.517223
decent wine selection too.,[],0.5166994
went there for an office lunch.,[],0.51662
i liked the beer selection!,[],0.5164802
not the typical nyc gimmick theme restaurant.,[],0.51616335
"well, their deliveries take for ever and the food is usually cold.",[],0.5154273
"(food was delivered by a busboy, not waiter) we got no cheese offered for the pasta, our water and wine glasses remained empty our entire meal, when we would have easily spent another $20 on wine.",[],0.5153601
"while sapphire is certainly not lacking in ambiance, and probably has the best decor of any indian restaurant i have been to in new york city, the food was not what i had hoped for.",[],0.5153584
i also recommend the rice dishes or the different varieties of congee (rice porridge).,[],0.51512563
"i would definitely go back for a very special occasion, but not for regular fine dining.",[],0.5150998
p.s. please don't tell anyone in my family i eat there.,[],0.5150849
