text,aspect_term,polarity
"pros : low weight , long battery life , decent keyboard , decent screen , does not heat up , hdmi output , flawless local hd decoding con : low audio volume , just enough cpu power",audio volume,neg
"however , when you unplug the computer it beeps .",beeps,neg
"i have been disappointed to find that there is no printed instructions with it , just a crude pictorial instruction of installation , which leaves a great deal of information missing .",instructions,neg
"thats pretty much it , the speakers rock , the control station and remote are nifty , and the sub is powerful .",speakers,pos
"thats pretty much it , the speakers rock , the control station and remote are nifty , and the sub is powerful .",control station,pos
"thats pretty much it , the speakers rock , the control station and remote are nifty , and the sub is powerful .",remote,pos
"thats pretty much it , the speakers rock , the control station and remote are nifty , and the sub is powerful .",sub,pos
i haven't really need any since the display have proven to be very intelligent when resizing different screen res 's and i can use the ati drivers to adjust things like color temp and gamma .,display,pos
i have this monitor for a month now and i 'm very pleased with it .,monitor,pos
the incoming call volume is incredibly low and it is often difficult to hear my customers -lrb- it was so bad i had my hearing tested because i thought something was wrong with me .,volume,neg
"the volume is loud enough , but at louder levels there is noticable vibration and some distortion .",volume,pos
"the volume is loud enough , but at louder levels there is noticable vibration and some distortion .",vibration,neg
"the volume is loud enough , but at louder levels there is noticable vibration and some distortion .",distortion,neg
it 's a really nice looking device and can be positioned horizontally or vertically .,device,pos
all the latest acer stuff is top notch !,acer stuff,pos
"i was looking for an inexpensive , room-suited ipod speaker and this is what i got .",speaker,pos
"harmon international has done a great job on all of these equipment , the avr 525 produces crystal clear sound with excellent clarity .",avr 525,pos
"harmon international has done a great job on all of these equipment , the avr 525 produces crystal clear sound with excellent clarity .",sound,pos
"harmon international has done a great job on all of these equipment , the avr 525 produces crystal clear sound with excellent clarity .",clarity,pos
"i 'm glad i went with it , it actually exceeds my viewsonic for color , brightness , and pixel quality .",color,pos
"i 'm glad i went with it , it actually exceeds my viewsonic for color , brightness , and pixel quality .",brightness,pos
"i 'm glad i went with it , it actually exceeds my viewsonic for color , brightness , and pixel quality .",pixel quality,pos
pros : competitive cost win 7 home premium hdmi port -lrb- i could watch the amazon instant videos on my hdtv and its delivering great .,delivering,pos
it seems that with every firmware release the router gets better & better .,firmware,pos
it seems that with every firmware release the router gets better & better .,router,pos
it has very good range -- much better than the linksys router it replaced .,range,pos
the speakers themselves sound really good .,speakers,pos
the speakers themselves sound really good .,sound,pos
i am so tired of netgear 's product quality & customer service that i would never recommend netgear products to anyone i know .,quality,neg
i am so tired of netgear 's product quality & customer service that i would never recommend netgear products to anyone i know .,customer service,neg
my dwl-2100ap does not work as a repeater for di-624s and there is no firmware update to support this product .,firmware update,pos
for my work this panel is unusable .,panel,neg
"haven't setup any advanced features , but the signal strength and speed are roughly twice what i had with old router .",signal strength,pos
"haven't setup any advanced features , but the signal strength and speed are roughly twice what i had with old router .",speed,pos
"when i put it to use for my daughter 's graduation party in longer lengths , the speaker wire worked as expected , even out of doors .",speaker wire,pos
"very tight joints , excellent black finish , and precise speaker wire hook-ups .",joints,pos
"very tight joints , excellent black finish , and precise speaker wire hook-ups .",finish,pos
"very tight joints , excellent black finish , and precise speaker wire hook-ups .",speaker wire hook-ups,pos
"with it enabled , anytime we made changes to the router , we had to manually press the `` turn on radio  button on the front of the router because the gui one wouldn't work .",gui,neg
"however , because this dock plays about any mp3 player and is of good quality and low price , it should sell very well .",quality,pos
"however , because this dock plays about any mp3 player and is of good quality and low price , it should sell very well .",price,pos
i conclude that the ethernet transceiver d-link uses is not as good as that of other brands .,ethernet transceiver,neg
these are great bike speakers for the weekend cycling in the park .,speakers,pos
the screen quality is very high & the side view is very sharp & clear .,screen quality,pos
the screen quality is very high & the side view is very sharp & clear .,side view,pos
i have seen no dead pixels or color bleeding that i 've heard about with other acer models,dead pixels,pos
i have seen no dead pixels or color bleeding that i 've heard about with other acer models,color bleeding,pos
this is an excellent value .,value,pos
this netbook is closer to the notebook powers but still very cheap .,netbook,pos
my only grips are the incompatibility with xp and the usb hub in the display .,incompatibility,neg
update : i 've been using this router for 3 months and it 's still working very well - wifi remains strong and consistant .,working,pos
"i don't for-see myself having any issues with it in the coming year or two however if i do , i will know that with this product , it will be taken care of for free and quick with helpful and courteous customer service reps. the service of amazon in getting this item to me was faster than i expected and it is exactly what i knew it would be .",customer service reps,pos
both the black and the white speakers are economically priced and worth it .,speakers,pos
both the black and the white speakers are economically priced and worth it .,priced,pos
with the small cost it packs a powerful wireless punch,cost,pos
with the small cost it packs a powerful wireless punch,wireless punch,pos
otherwise a very decent monitor for its price .,monitor,pos
otherwise a very decent monitor for its price .,price,pos
"the router doesn't support port translation , e.g forward port 8080 in the outside to port 80 in the inside .",port translation,neg
the soft orange glow at the base is a nice nightlight .,base,pos
"however , since i am in an office , i normally keep them at a pretty low volume , and at low volumes , they sound a little weak .",sound,neg
"however , shareport on this new router worked 0 % of the time .",shareport,neg
the computer direct processing and shipping was outrageously fast .,shipping,pos
"when i reset it , like unplugging it and plugging it back in , i would get the n speeds 150 mbps the first time it connected and would transfer files at that speed , then usually next time i connected it would drop back to 65 or 52 mbps and stay at these speeds .",speeds,neg
"if i were to rate these speakers on my listening needs , i would give a 2.5 stars , but i 'm giving 4 because i think they do the job that most people want them for .",speakers,pos
"it 's just such a nice , light-weight , non-intrusive device which you can take anywhere .",device,pos
the sound is clear and clean but if your not on top of it you can't hear a thing .,sound,pos
"the images are vivid and crisp , the text and fonts are very clear .",images,pos
"the images are vivid and crisp , the text and fonts are very clear .",text,pos
"the images are vivid and crisp , the text and fonts are very clear .",fonts,pos
"thanks to amazon 's amazing return policy , i was able to return the product at no loss on my part .",return policy,pos
it has a usb port -- so you can plug in a usb-powered drive and have network-accessible storage .,usb port,pos
delivery was prompt .,delivery,pos
they are clears and perfect to be used along with a sub .,used,pos
"first of all , i disagree with any suggestions that the bass on this system is boomy in a bad way .",bass,neg
"first of all , i disagree with any suggestions that the bass on this system is boomy in a bad way .",system,neg
"for a small , portable , unit , this allows you to listen to , as well as share ipod music , and podcasts , in an intimate setting .",unit,pos
i tried these speakers and found them to preform well below expectations for this price .,speakers,neg
i tried these speakers and found them to preform well below expectations for this price .,preform,neg
"item shipped out quickly , was in good condition , came with easy to use set-up disk ... we haven't had to 're - set ' the router at all so far since it 's delivery , so my wife is no longer giving me the business about losing her wireless internet connection on her laptop ... added security benefits , neighbors no longer hogging signal , well worth the purchase price !",shipped out,pos
"item shipped out quickly , was in good condition , came with easy to use set-up disk ... we haven't had to 're - set ' the router at all so far since it 's delivery , so my wife is no longer giving me the business about losing her wireless internet connection on her laptop ... added security benefits , neighbors no longer hogging signal , well worth the purchase price !",condition,pos
"item shipped out quickly , was in good condition , came with easy to use set-up disk ... we haven't had to 're - set ' the router at all so far since it 's delivery , so my wife is no longer giving me the business about losing her wireless internet connection on her laptop ... added security benefits , neighbors no longer hogging signal , well worth the purchase price !",set-up disk,pos
"unfortunately , i just could not get it to work .",work,neg
"assembly of the stands is very straightforward , and well detailed in the instructions .",stands,pos
"assembly of the stands is very straightforward , and well detailed in the instructions .",instructions,pos
the sound became instantly clear again .,sound,pos
"wow , this speaker really rocks .",speaker,pos
no one sells a 1.2 mm x 2.2 mm sized -lrb- or what ever stupid size it is -rrb- power adapter .,size,neg
while upgrading the memory the keyboard connector broke .,keyboard connector,neg
"my blu-ray player and wd live tv box normally lean back , smile , and light up a smoke after a good firmware upgrade , and perform well forever thereafter .",perform,pos
"so besides the annoyances , this is a fine speaker for the amount i paid .",speaker,pos
we are well pleased with the monitor and the company .,monitor,pos
its annoying when you pay $ 100 + for a router and it doesn't work as it is supposed straight out of the box !,router,neg
this is the best speaker mount i had so far .,speaker mount,pos
i don't think that really matters though - i mean hooked my xbox 360 up to the standard vga port a little while ago and the picture was awesome .,picture,pos
"the problem with this box is that it reboots several times an hour , if not more frequently .",reboots,neg
i get complete coverage everywhere in my house -lrb- about 3500 sq ft -rrb- and it 's located in the corner of my basement .,coverage,pos
"however , once you crank the volume a little to a level a bit too distracting for the work i like to get done with some background music , viola , the audio is great -lrb- well , this is relative - great for a computer speaker -rrb- .",computer speaker,pos
i will have to wholeheartedly agree with others here about the quality of this speaker .,quality,neg
the woofer is much larger .,woofer,pos
"please a firmware upgrade that enables all the usb drives attached to this wireless router to be seen in the actual networked local computer desktop portals and be able to drag and drop , upload , attach , etc. .",firmware upgrade,pos
"due to the lack of support for whs \/ upnp \/ guestnetwork , and having just dropped the bones for this router , i was very unimpressed .",support,neg
"due to the lack of support for whs \/ upnp \/ guestnetwork , and having just dropped the bones for this router , i was very unimpressed .",router,neg
the full sized keyboard is sweet not to mention the aquamarine color .,keyboard,pos
the full sized keyboard is sweet not to mention the aquamarine color .,color,pos
just an average user getting good value in this product .,product,pos
i really liked the size so i researched what to buy and this was it .,size,pos
clear and crispy image .,image,pos
"although i was concerned about the plastic material and the fragile look , but it really works .",material,neg
"although i was concerned about the plastic material and the fragile look , but it really works .",look,neg
thuumbs up to acer widescreen ultra slim monitor .,acer widescreen,pos
thuumbs up to acer widescreen ultra slim monitor .,ultra slim monitor,pos
this router started out looking good but then gradually slowed down to the point that even standard def youtube videos and highly compressed iptv from hulu plus would slow down and freeze or stutter .,slowed down,neg
this router works fine and i am able to stream video in all rooms of the house at the same time .,works,pos
this router works fine and i am able to stream video in all rooms of the house at the same time .,router,pos
"connection speed to the other 2 machines seems awesome - much quicker than the router i replaced , and when combined with the simplicity of the valet plus , this makes for a great product .",connection speed,pos
"connection speed to the other 2 machines seems awesome - much quicker than the router i replaced , and when combined with the simplicity of the valet plus , this makes for a great product .",product,pos
i spend 10 hours\/day in a vnc session with dark colors ; the colors and brightness change across the panel when i look from the center to the corner .,colors,neg
i spend 10 hours\/day in a vnc session with dark colors ; the colors and brightness change across the panel when i look from the center to the corner .,brightness,neg
"after much frustration , i finally upgraded the firmware to the latest dd-wrt firmware at dd-wrt 's website and it resolved all my problems .",dd-wrt firmware,pos
"i 'm also running in-wall rated insulated 14 gauge speaker wire , and the stands accommodate this thick wire perfectly , even through the groove in the bottom of the base .",stands,pos
"i 'm also running in-wall rated insulated 14 gauge speaker wire , and the stands accommodate this thick wire perfectly , even through the groove in the bottom of the base .",wire,pos
both are absolutely great items .,items,pos
this really is a laptop in a small form .,laptop,pos
this really is a laptop in a small form .,form,pos
"this is a great portable speaker system , but wanted to let people know that if your ipod is in an iskin case you can not dock the ipod without first removing the skin .",speaker system,pos
"my 2 xboxs , ipod , iphone , ipad are all catching a nice strong signal .",signal,pos
good quality for a small portable speaker .,quality,pos
good quality for a small portable speaker .,speaker,pos
i absolutely love these speakers .,speakers,pos
build quality is great .,quality,pos
bottom line - don't buy this for the usb function .,usb function,neg
d-link got greedy and in trying to sell you their pathetic extras made the product unusable .,d-link,neg
d-link got greedy and in trying to sell you their pathetic extras made the product unusable .,product,neg
"in the end i would recommend that you go with a different router , if you decide to get this one , either never do a firmware update , or do it right away so that if the router fails , you are within the easy exchange period .",firmware update,neg
"in the end i would recommend that you go with a different router , if you decide to get this one , either never do a firmware update , or do it right away so that if the router fails , you are within the easy exchange period .",exchange period,pos
"this router does drop every once in a while , but not like the old router did every hour or so !",router,neg
best tech support i have ever experienced .,tech support,pos
"valet plus is easy to configure , and was set up in about 7 minutes .",valet plus,pos
"valet plus is easy to configure , and was set up in about 7 minutes .",configure,pos
it 's loud and the quality is good .,quality,pos
"that is surface stuff , but the speed and memory is very good .",speed,pos
"that is surface stuff , but the speed and memory is very good .",memory,pos
this setup worked perfectly the first shot at it .,setup,pos
would definatley recommend to a friend and its volume can fill a small house for such a small speaker system .,volume,pos
would definatley recommend to a friend and its volume can fill a small house for such a small speaker system .,speaker system,pos
"it worked reasonably well for a while , although it frequently was barely able to keep up when i tried to stream movies , which was a big part of the reason i went to a faster router in the first place .",worked,neg
"as a non-technical person , i was surprised to install the cisco valet plus wireless hotspot in less than 10 minutes .",install,pos
"i 've been playing minecraft on it and multi tasking at the same time , and while it does run slower while multi-tasking , the gaming experience is not compromised for me .",run,neg
"the speakers perform very well , and with the bass boost , the sound fills outs exceedingly well .",speakers,pos
"the speakers perform very well , and with the bass boost , the sound fills outs exceedingly well .",perform,pos
"the speakers perform very well , and with the bass boost , the sound fills outs exceedingly well .",sound,pos
compared to the 19  dell monitor this replaced it is far brighter and weighs much less .,weighs,pos
the only downside is the remote which requires a line of sight .,remote,neg
this device solves the problem nicely .,device,pos
i especially love the ` remote ' controller stand with it 's big volume knob and simple selector buttons .,controller,pos
i especially love the ` remote ' controller stand with it 's big volume knob and simple selector buttons .,volume knob,pos
i especially love the ` remote ' controller stand with it 's big volume knob and simple selector buttons .,selector buttons,pos
"technical support line - the buffalo technical support line on the other hand , was very helpful .",buffalo technical support line,pos
especially due to the odd sized plug designed by d-link .,plug,neg
"bottom line is for the price , these things sound great and have tons of good bass .",price,pos
"bottom line is for the price , these things sound great and have tons of good bass .",sound,pos
"bottom line is for the price , these things sound great and have tons of good bass .",bass,pos
this means that the vga connection will not work with my computers .,vga connection,neg
i used this monitor for 2 years and now it shows a mixture of various colors and de-focused text .,monitor,neg
i used this monitor for 2 years and now it shows a mixture of various colors and de-focused text .,colors,neg
these monitors are great for the price .,monitors,pos
these monitors are great for the price .,price,pos
"they are very sturdy , and have no trouble balance wise , or handling oddly shaped speakers .",speakers,pos
"this portable speaker is easy to use , powerful enough for everyday use , and available at a pretty decent price .",speaker,pos
"this portable speaker is easy to use , powerful enough for everyday use , and available at a pretty decent price .",use,pos
"this portable speaker is easy to use , powerful enough for everyday use , and available at a pretty decent price .",price,pos
"while my laptop and netbook have decent speakers , the volume on such devices is inherently lower than with standard speakers , making it harder to hear some audio .",volume,neg
"while these speakers are capable of sounding good , i have to do more adjustments every time i change media type to keep it from sounding bad .",speakers,pos
"while these speakers are capable of sounding good , i have to do more adjustments every time i change media type to keep it from sounding bad .",adjustments,neg
they said the product was defective and said they would send a new one .,product,neg
recieved this product in time for a gift giving ... works outstanding good battery life nice screen resolution uses windows 7 which is what the rest of the house uses connectsd to my network easisly,battery life,pos
recieved this product in time for a gift giving ... works outstanding good battery life nice screen resolution uses windows 7 which is what the rest of the house uses connectsd to my network easisly,screen resolution,pos
well it had good power but no precision at all .,power,pos
"however , some of the latest bandwidth hogging software was starting to bog it down , to the point where i was having to reset it and my computer far too often in order to reclaim a dropped internet connection .",bandwidth hogging software,neg
"however , some of the latest bandwidth hogging software was starting to bog it down , to the point where i was having to reset it and my computer far too often in order to reclaim a dropped internet connection .",internet connection,neg
an excellent product with excellent and typically superb logitech production values .,product,pos
an excellent product with excellent and typically superb logitech production values .,logitech production values,pos
i wished that they could make the volumn a little bit louder .,volumn,neg
our connection and speed immediately soared once it was online and our network was set up .,speed,pos
our connection and speed immediately soared once it was online and our network was set up .,connection,pos
tech support was very pleasent and helpfull once you actually got someone .,tech support,pos
the satellite speakers actually are really reach in the bass tones .,satellite speakers,pos
the satellite speakers actually are really reach in the bass tones .,bass tones,pos
"the replacement was even worse than the original one , which was now working fine .",working,pos
"beautiful home theater and music speaker ... crisp highs , defined mids , and respectable bass .",home theater,pos
"beautiful home theater and music speaker ... crisp highs , defined mids , and respectable bass .",music speaker,pos
"beautiful home theater and music speaker ... crisp highs , defined mids , and respectable bass .",highs,pos
"beautiful home theater and music speaker ... crisp highs , defined mids , and respectable bass .",mids,pos
"beautiful home theater and music speaker ... crisp highs , defined mids , and respectable bass .",bass,pos
overall i would reccomend these to someone who wants a set of small but effective computer speakers at a reasonable price .,computer speakers,pos
overall i would reccomend these to someone who wants a set of small but effective computer speakers at a reasonable price .,price,pos
"setup was easy -lrb- windows xp wired , windows 7 professional wifi -rrb- .",setup,pos
good monitor for the price .,monitor,pos
good monitor for the price .,price,pos
you can not get decent mid-range or bass at lower levels without inaccurate booming from the sub woofer no matter how you tweak the levels .,mid-range,neg
you can not get decent mid-range or bass at lower levels without inaccurate booming from the sub woofer no matter how you tweak the levels .,bass,neg
"these are good looking , durable speaker stands .",looking,pos
"these are good looking , durable speaker stands .",speaker stands,pos
amazing speed and easy to set up .,speed,pos
amazing speed and easy to set up .,set up,pos
the switch being in the back is a little awkward as the other reviews also mention and the `` pulse  isn't really all that but that is irrelevant to me .,switch,neg
this is a good product .,product,pos
the monitors were both good .,monitors,pos
my overall experience with this monitor was very poor .,monitor,neg
the stand is by far the most inferior aspect of this monitor .,stand,neg
the stand is by far the most inferior aspect of this monitor .,monitor,neg
they sound really good just as the reviews say .,sound,pos
there are limitations to what you can do with frequency adjustments because of the built-in speaker crossovers .,speaker crossovers,neg
this is a superb system and highly recommended .,system,pos
these insten `` folding speakers  are a surprisingly good value for decent quality portable speakers !,value,pos
these insten `` folding speakers  are a surprisingly good value for decent quality portable speakers !,quality,pos
these insten `` folding speakers  are a surprisingly good value for decent quality portable speakers !,speakers,pos
"first gripe : i set up a lot of these puppies , and the video cable doesn't always fit into the socket on the underside of the monitor .",video cable,pos
"first gripe : i set up a lot of these puppies , and the video cable doesn't always fit into the socket on the underside of the monitor .",fit into the socket,neg
my linksys froze for 30 minutes or longer when applying changes .,linksys,neg
"the sound is surprising full , with a fair amount of bass , even for such a small unit .",sound,pos
"the sound is surprising full , with a fair amount of bass , even for such a small unit .",bass,pos
"the sound is surprising full , with a fair amount of bass , even for such a small unit .",unit,pos
works great !,works,pos
the only problem i have is the clicker on the mouse pad is stiff .,clicker,neg
the only problem i have is the clicker on the mouse pad is stiff .,mouse pad,neg
all i can say is that this is an excellent devise .,devise,pos
i am above average with technical knowledge but it is easy enough for the beginner to set up .,set up,pos
"so far , i am super happy with this small yet powerful enough laptop .",laptop,pos
easy to hook up .,hook up,pos
they offered to replace my controller but -- important to note -- they were unwilling to cross-ship it .,cross-ship,neg
"i can see a drastic difference between this monitor and dell ultrasharp in terms of contrast , brightness and viewing angles .",contrast,pos
"i can see a drastic difference between this monitor and dell ultrasharp in terms of contrast , brightness and viewing angles .",brightness,pos
"i can see a drastic difference between this monitor and dell ultrasharp in terms of contrast , brightness and viewing angles .",viewing angles,pos
the d-link dir-655 extreme n wireless router works fine as a 802.11 n wireless router .,d-link dir-655 extreme n wireless router,pos
