text,terms
"oops , easy to go online , and adjust it there .","[('go online', 'pos'), ('adjust', 'pos')]"
plan to read through the manual to understand more of what it can do .,[]
from the belkin my reception increased over 25 % .,"[('reception', 'pos')]"
"it is tall , so i ended up laying it on its side .","[('tall', 'neg')]"
connection to the device is so easy .,"[('connection', 'pos')]"
"i just went to my laptop , it saw the router , i clicked on the name , then you go over to the router and push the button near the bottom , your connected .",[]
very pleased at this time .,[]
the d-link dir-655 extreme n wireless router works fine as a 802.11 n wireless router .,"[('d-link dir-655 extreme n wireless router', 'pos')]"
"however , the reason i bought it was to wirelessly share my printer between two macs using the usb shareport on the router .",[]
shareport is not compatible with mac os .,"[('shareport', 'neg')]"
"after hours of searching the internet , i was disappointed to find that d-link does not provide support for mac os 10 .",[]
i bought this in combination with a d-link dwa-140 wireless usb adapter .,[]
"d-link does not provide mac support for the adapter , however i was able to find a free third-party driver that is compatible .","[('mac support', 'neg')]"
the best solution for sharing a printer is to use an apple airport express or apple airport extreme .,[]
i returned both d-link products and purchased an airport express .,[]
"it was running in a couple minutes , and very easy to wirelessly share my printer .",[]
i was told by the qwest support to upgrade my cisco 678 to a pk5000 .,[]
"the router does n't support port translation , e.g forward port 8080 in the outside to port 80 in the inside .","[('port translation', 'neg')]"
"nor there is a clear manual offered by the manufacturer or by qwest , qwest does provide some info , but nothing about what is not intuitive enough in the screen .","[('manual', 'neg')]"
"called actiontec for a fix , but they do n't support it , their recommendation was to use it as a bridge , and use a real router behind .",[]
"-lrb- yeah , like you 'll use a new , very expensive dsl modem as dumb bridge -rrb- i returned the item and got a linksys dsl modem instead .","[('dsl modem', 'neg')]"
"i am a long time d-link customer -lrb- owned 3 different d-link routers -rrb- , the last two all failed in one year .",[]
"when i bought the third one , i thought i can give d-link one more try , but now i regret my decision .","[('d-link', 'neg')]"
"the router failed today -lrb- completely dead -rrb- , when i need to work from home due to heavy snow !","[('router', 'neg')]"
"should have bought the linksys routers , no more d-link for me .",[]
this is a great buy as far as i know .,[]
with the small cost it packs a powerful wireless punch,"[('cost', 'pos'), ('wireless punch', 'pos')]"
i upgraded from the netgear wpn824 and wow what a difference !,[]
"with the wndr37av i now get full bars in every room , through four walls -lrb- metal stud construction -rrb- except in the garage which gets almost full bars .",[]
setup was very easy .,"[('setup', 'pos')]"
"this router does drop every once in a while , but not like the old router did every hour or so !","[('router', 'neg')]"
the usb port on the back is a nice feature .,"[('usb port', 'pos'), ('feature', 'pos')]"
i wish they would have taken it a step further and added one or two more for additional storage or a local printer server .,[]
"the data rate over the network storage is rather slow , but i only use it for occasional backups so it does n't bother me too much .","[('data rate', 'neg')]"
in all i 'd say this is a decent router for the money .,"[('router', 'pos')]"
"my house is small , so it 's hard to judge the real strenght of the product through a lot of walls , but in my house the product worked perfectly in all rooms and corners , with no signal interruptions .","[('product', 'pos'), ('signal interruptions', 'pos')]"
"the model is also very clean and nice , and the software is very user-friendly .","[('model', 'pos'), ('software', 'pos')]"
"these were only my first week impressions but , until now , i strongly recommend this product and i 'm very satisfied with it .","[('product', 'pos')]"
bought a d link .,[]
cd does not provide guidance for support for mac or software to install for mac .,[]
technical support rude and unhelpful .,"[('technical support', 'neg')]"
this router replaced an aging linksys wrt54g .,[]
"the d-link has a ton of features including usb printer sharing , two wireless networks -lrb- one not connected to the lan -rrb- , and a really comprehensive settings menu .","[('printer sharing', 'pos'), ('menu', 'pos')]"
i have owned this for over 6 months and have never had to reset it due to instability .,[]
"i would buy this again , and recommend it to others .",[]
my old wireless g was having issues and dropping out .,[]
all of the resets and chasing upgrades were n't helping .,[]
"i took a chance with this new product and am pleased , except in six months it will cost half of what i paid , but that 's the price for current state of the art .","[('product', 'pos'), ('price', 'pos')]"
piece of cake to set up .,"[('set up', 'pos')]"
i had all four of our computers up and running on the network in about an hour .,[]
"no dropouts , good signal strength all over my three story house -lrb- unit is located on the top floor -rrb- and very user friendly in the setup and security aspects .","[('signal strength', 'pos'), ('setup', 'pos'), ('security', 'pos')]"
"i would n't mind having an external adjustable antenna , but it does fine as is and the speed on the bottom floor of the house is much improved .","[('speed', 'pos')]"
i was really looking for a way to have a wireless nas .,[]
i contacted netgear before buying to ask if i could set it up as a repeater -lrb- to my primary netgear router -rrb- with the usb drive enabled .,[]
the answer was yes .,[]
the set-up went fairly smooth with netgears online knowledge base .,"[('set-up', 'pos')]"
i hooked up a lacie external drive and everything seemed to work fine .,[]
it showed up on the network .,[]
i started accessing and transfering files to find it to be extremely slow .,"[('slow', 'neg')]"
"so slow , that it is not useable for files of any size or back-ups .","[('slow', 'neg'), ('useable', 'neg')]"
"i read online and found that my expectations should not be high , but this thing was roughly equivalent to using a dial-up internet connection .",[]
i verified the signal strengths with a laptop and there was no problem there .,"[('signal strengths', 'pos')]"
e-mailed netgear and they insisted that i call .,[]
"after about 30 minutes into it , they told me that they could not help me any further -lrb- without a fee -rrb- because my primary netgear router is out of warranty .",[]
my primary router has no problems at all .,[]
the old router has worked well for going on two years .,[]
netgear refused to diagnose the wnr3500l without a fee because i was repeating an older netgear router .,[]
i told them i would send it back and they said ok .,[]
i just sent it back for refund today .,[]
bottom line - do n't buy this for the usb function .,"[('usb function', 'neg')]"
i bought this router to replace an old linksys and to go hand-in-hand with a new motorola sb6120 modem .,[]
having received the router first i elected to hold off setting it up until i got the new modem .,[]
after receiving the sb6120 and setting it up i set up the router following the instructions they gave .,[]
"the set up was pretty simple , basically a matter of hooking everything up and rebooting your system at which time you 're taken to the d-link website to finalize how your setup will be .","[('set up', 'pos')]"
this part confused me as i could n't find how to set your security parameters .,[]
"however , a phone call to the d-link support crew was answered in a reasonable amount of time and they guided me through the process without a problem .","[('d-link support crew', 'pos')]"
as of this review i am using the router and it is working very nicely .,"[('router', 'pos'), ('working', 'pos')]"
"moreover , i found it to be more user friendly than the old linksys i had .",[]
as a final comment i am happy with the d-link dir-655 so far and my home wireless connections are smooth whether i 'm using my asus netbook or apple ipad .,"[('d-link dir-655', 'pos'), ('connections', 'pos')]"
finally got around to installing my cisco-valet .,[]
installation was easy as advertised .,"[('installation', 'pos')]"
had couple of minor questions ... tech support number provided said it was available 24\/1 .,[]
"since it was sunday , was very skeptical .",[]
"made call which was immediately answered by very helpful , competent tech .","[('tech', 'pos')]"
best tech support i have ever experienced .,"[('tech support', 'pos')]"
amazing speed and easy to set up .,"[('speed', 'pos'), ('set up', 'pos')]"
very good range and seemed to be better in the horizontal position .,"[('range', 'pos')]"
i get complete coverage everywhere in my house -lrb- about 3500 sq ft -rrb- and it 's located in the corner of my basement .,"[('coverage', 'pos')]"
i 'll report back after i have it up and running for a while .,[]
ok ... .,[]
let me start by saying that home networking is bane of my existence .,[]
i must live in some sort of black hole as i have been through several different routers in attempts to have my wireless network up to the standard i believe it should be .,[]
the set up for this product was a breeze .,"[('set up', 'pos')]"
real piece of cake .,[]
"surprisingly , everything seems to work well .","[('work', 'pos')]"
"my 2 xboxs , ipod , iphone , ipad are all catching a nice strong signal .","[('signal', 'pos')]"
no drops ... the only problem i have had so far is my apple tv which was operating on the 5.0 ghz signal .,[]
it did drop -lrb- just once -rrb- .,[]
now i have only been using this for a few days so this is a very early review .,[]
my b + could grow to an a if things stay on course .,[]
i 'm hopeful !!!,[]
addition on 4\/14\/2011 \*\*\* i 've just had the 2nd router of this model go bad inside of 5 months .,"[('router', 'neg')]"
"after the problem i recounted below concerning the first unit , i got a replacement and put the replacement in service .",[]
last night i needed to reset the router .,"[('reset', 'neg')]"
"i unplugged it , plugged it back in , and the power supply failed .","[('power supply', 'neg')]"
i used a previous router for more than six years without a single problem .,[]
this model router has now failed me twice in the short span of time mentioned .,"[('model router', 'neg')]"
there are too many competitors in the price range to take a chance on this shoddy model .,[]
no wonder they had to offer a ` life-time ' warranty on it .,[]
they 'll be sending plenty of them out .,[]
"however , you may not want to be without a router for the time it takes them to replace this -lrb- if you buy it -rrb- when it fails .",[]
avoid this model like the plague .,"[('model', 'neg')]"
\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\* i 'd had a previous wireless router for years that worked fine .,[]
"however , some of the latest bandwidth hogging software was starting to bog it down , to the point where i was having to reset it and my computer far too often in order to reclaim a dropped internet connection .","[('bandwidth hogging software', 'neg'), ('internet connection', 'neg')]"
"pros : so off i went to get a faster router , and this one did the job i bought it for admirably .","[('router', 'pos')]"
"set up was smooth , and both wired and wireless devices worked very well on it .","[('set up', 'pos')]"
"the bandwidth hogs were no longer locking up my network , and rainbows filled the sky .",[]
"huge con : while i was in the setup screen one day to double check my wireless network password , i noticed that a link had appeared announcing the presence of a firmware upgrade .",[]
normally i have found this to be a good thing .,[]
"my blu-ray player and wd live tv box normally lean back , smile , and light up a smoke after a good firmware upgrade , and perform well forever thereafter .","[('perform', 'pos')]"
"well , not this box .",[]
"halfway through the firmware upgrade progress bar , the infamous browser `` page not found '' screen replaced most of the router 's interface .","[('firmware upgrade', 'neg')]"
"the network was down , the internet connection was gone , and the router was completely unresponsive .","[('network', 'neg'), ('internet connection', 'neg'), ('router', 'neg')]"
"after that , the router would never even respond to its own internal browser link .","[('router', 'neg')]"
no amount of tech support or troubleshooting research solved this issue .,[]
it had become well and truly a door stop .,[]
wrap up : i exchanged the router for another of the same model .,[]
i was pleased with its operation before the attempted firmware update .,"[('operation', 'pos'), ('firmware update', 'neg')]"
"so i 'll live with the new one as boxed , and never be foolish enough to let netgear try to make it better , ever again .",[]
i see from other reviews that this has been a fairly common issue with this router .,[]
too bad i did n't look here first .,[]
i bought it at best buy without reading the reviews first .,[]
"in the end i would recommend that you go with a different router , if you decide to get this one , either never do a firmware update , or do it right away so that if the router fails , you are within the easy exchange period .","[('firmware update', 'neg'), ('exchange period', 'pos')]"
bought this router about a month ago to replace an old linksys unit .,[]
i use it primarily for ethernet connections to several computers and one wireless connection to a laptop .,[]
no problems with any of those connections .,"[('connections', 'pos')]"
the laptop is one floor vertically and about 20 feet horizontally away from the router .,[]
the ability to connect an external hard drive to the router is a nice feature when backing up from my various computers .,"[('connect', 'pos'), ('feature', 'pos')]"
i am a novice at this stuff but it was extremely easy to set the router up .,"[('set', 'pos')]"
the wireless portion has a `` guest '' setting that allows visitors to access the internet but not your network .,[]
so far the router has worked well .,"[('worked', 'pos')]"
my only complaint to date is that it dropped the security settings once and i am not sure why ; do n't know if it was something that i did or if it was a malfunction of the router .,"[('security settings', 'neg')]"
the dd-wrt -lrb- professional -rrb- firmware v24-sp2 build 19152 for the whr-hp-g300n that comes from buffalo 's website does not hold a wireless signal .,[]
"after much frustration , i finally upgraded the firmware to the latest dd-wrt firmware at dd-wrt 's website and it resolved all my problems .","[('dd-wrt firmware', 'pos')]"
it seems that buffalo does n't put a lot of effort to work on their professional dd-wrt firmwares .,[]
you should use the firmware on the dd-wrt website instead .,"[('firmware', 'pos')]"
it was working good for 4 months .,[]
now even 2.4 ghz signals are not working .,[]
i have to had to keep my laptop within 1 meter radius in order to get the 2.4 ghz signals .,[]
contacted customer support .,[]
they said your 3 months warranty is over .,[]
now i am thinking either buy the expensive warranty or buy another router .,[]
this is my 3rd router from netgear .,[]
the first 2 routers worked good for years .,"[('routers', 'pos')]"
"4 months ago , i bought this and stuck with it .",[]
the customer support is very rude .,"[('customer support', 'neg')]"
i am really surprising how such a mandatory product for every house hold suddently does n't work and the custmer support says you have only 3 months warranty .,[]
and the product was $ 100 and their 1 hour service is $ 55 .,[]
"hopless product , hopeless company and hopeless customer support .","[('product', 'neg'), ('company', 'neg'), ('customer support', 'neg')]"
the netgear router was simple to set up and has worked well for the last couple to few months i have had it .,"[('set up', 'pos'), ('worked', 'pos')]"
i am very happy with this product and the price was very reasonable given its features and specifications .,"[('product', 'pos'), ('price', 'pos')]"
i bought this router not quite one year ago and am already shopping for it 's replacement .,[]
"it worked reasonably well for a while , although it frequently was barely able to keep up when i tried to stream movies , which was a big part of the reason i went to a faster router in the first place .","[('worked', 'neg')]"
"the hard drive i had attached to the usb port was sometimes accessible , sometimes not .","[('usb port', 'neg')]"
"range was comparable to , or possibly slightly worse than the old linksys router i had been using for years .","[('range', 'neg')]"
"and finally , in early june , this router stopped broadcasting an internet signal .","[('router', 'neg')]"
"the internal network still functioned , but it would not pass through the internet signal from the cable modem .","[('internet signal', 'neg')]"
i thought it might possibly be the modem or isp until i hooked the old trusty linksys back up to it and it worked fine .,"[('linksys', 'pos')]"
"and now , netgear has deleted their customer service number from their website .",[]
i would too if i was selling garbage like this .,[]
i will be going back to a cisco-linksys product going forward .,[]
"this piece of junk ... well , i 'll probably paint a bullseye on it and take to the range .",[]
it might be good for that .,[]
i bought this set it up and would not connect at wireless n speeds .,"[('connect', 'neg')]"
it would max out at 65 mbps .,[]
"when i reset it , like unplugging it and plugging it back in , i would get the n speeds 150 mbps the first time it connected and would transfer files at that speed , then usually next time i connected it would drop back to 65 or 52 mbps and stay at these speeds .","[('speeds', 'neg')]"
i googled `` d-link dir-655 65 mbps max '' and found that a lot of people are having this problem .,[]
"called their support , they did n't have a clue so i returned it and i am looking for something else that will give me 150 mbps .","[('support', 'neg')]"
purchased this on amazon .,[]
selected it because it looked easy to install .,"[('install', 'pos')]"
followed the directions exactly using the provided cd .,[]
easy enough but it did not work .,"[('work', 'neg')]"
the interface was atrocious ; several elements simply did n't work at all .,"[('interface', 'neg')]"
called netgear tech and they walked me through an additional lenghtly proceedure .,[]
worked fine after that .,"[('worked', 'pos')]"
i have very high praise for the tech support people .,"[('tech support people', 'pos')]"
he was very patient with me .,[]
i am extremely happy with the reault .,[]
the device is small and well designed ... i would recomment it highly,"[('device', 'pos'), ('small', 'pos'), ('designed', 'pos')]"
i purchased a m-10 valet router and had the following experience .,[]
the wrong router was in the box -lrb- new not refurb -rrb- .,[]
since it would not work as advertised i called support .,"[('work', 'neg')]"
"the software said the unit had the wrong serial number , and the wrong model .",[]
the tech continued however to try to make it work .,[]
at this point i had no idea they had put the wrong unit in the box .,[]
after a few hours the tech said this would have to go to an engineer .,[]
meanwhile most of the units functions did not work .,[]
i reinstalled my old router .,[]
i then discovered that it was the wrong hardware .,[]
"i called again and was told i could send it back rma and wait for a new unit , purchase another and they would do a credit card hold until they got the unit back .",[]
or i could return it to the store .,[]
after about 5 hours of frustration i did not feel any love for these choices .,[]
"they caused the problem , ie wrong product in the box , the service tech failed to believe what the software said was wrong .","[('service tech', 'neg')]"
"i did get appologies -lrb- canned -rrb- , the case number was 120118-004972 if someone at cisco that cares reads this .",[]
this router is awesom but it will only support 1 xbox we have 3 and you can never get more than 1 to have a open nat type the others are usualy moderate or strict when i contaced support they were very nice and tried thre best to get it working right but to no avail bottom line if you just have a computer a laptop and 1 360 you will be fine and very secure this router is well worth the money,"[('router', 'pos')]"
"does what it should , wish everything i bought did this .",[]
owned for 2.5 months and never had to reset yet .,[]
this router gets 1 star from me due to it 's disconnect issue .,"[('disconnect', 'neg')]"
"have the latest firmware but as many others have described , the router will randomly stop working for 5 minutes then work again .","[('router', 'neg')]"
experience this about 1-2 times a week .,[]
"not a big issue if you are n't doing anything time pressing , but if you 're trying to get that last minute auction or are playing a competitive game you get screwed .",[]
paid more than what amazon is currently selling this router at -lrb- price depression due to poor quality no doubt -rrb- and expected to get a good quality product ... these random disconnects kills it for me .,"[('price', 'neg'), ('quality', 'neg')]"
"item shipped out quickly , was in good condition , came with easy to use set-up disk ... we have n't had to 're - set ' the router at all so far since it 's delivery , so my wife is no longer giving me the business about losing her wireless internet connection on her laptop ... added security benefits , neighbors no longer hogging signal , well worth the purchase price !","[('shipped out', 'pos'), ('condition', 'pos'), ('set-up disk', 'pos')]"
"<a�href=""http://www.amazon.com/gp/product/b0041lyy6k/ref=cm_cr_asin_lnk/179-9716455-1337843""> netgear n600 wireless-n dual band router with 4-port ethernet switch and usb port </a> this router failed after 5 weeks of operation .",[]
"-lrb- lost internet connection with the router , internet service was restored when the computer was connected directly to the modem -rrb- .","[('internet connection', 'neg')]"
my first service call lasted over an hour -lrb- 46 minutes follwed by a call back that lasted about 25 minutes . -rrb-,[]
"i was guided through several attempts to find a solution , finally resetting and reloading some software .",[]
"this worked -lrb- for a few days -rrb- four days later , same failure .",[]
"following the same procedure , restored operation .",[]
"a few days after that , another failure , same conditions .",[]
i replaced the router with another brand and called for a refund or return material authorization -lrb- rma -rrb- from netgear .,[]
got the runaround .,[]
"i called again this morning was put on hold by a technician , and the call was terminated .",[]
"i called again and spoke to a supervisor who finally agreed to replace the unit if i mailed it in to netgear , then they would mail a replacement .",[]
no refunds are allowed !!!!!,[]
"for such a key part of a system , to have to wait for a swap by mail is unacceptable , it should be return to the retailer for an immediate swap .",[]
"i have learned a great deal about netgear 's warranty policy through this experience , and will avoid this brand at all costs .",[]
i guess that `` limited lifetime warranty '' means it may take a lifetime to collect on the warranty .,"[('warranty', 'neg')]"
bottom line : it did n't work the way it was supposed to so we 're returning it we bought this router for our two computers .,"[('work', 'neg')]"
one is a new laptop running vista and the other is a 7 year old desktop with windows 2000 .,[]
our two requirements of a router were 1 -rrb- it should work with both vista and 2000 and 2 -rrb- it should have a usb port so that we can connect the printer .,[]
"you ca n't share a printer between 2000 and vista , so we 've always just had the printer hooked up to the desktop .",[]
"everytime you want to print from the laptop , you have to carry it across the house to the printer .",[]
"sometimes , with the old router , the laptop was able to see and access the shared drives on the desktop and we could move and print things that way , but that only worked some of the time .",[]
we wanted to find a better solution .,[]
my husband and i are both software engineers .,[]
"if two software engineers ca n't get this working with our system , then it 's not going to work with what we have .",[]
"we spent probably 12 hours , total , trying to get the router 's usb port to work with no luck .",[]
"first , i tried to set the router up using the wire connection to the old desktop .",[]
i spent 4 hours on that and i could n't connect to the internet .,"[('connect', 'neg')]"
i tried setting the router up with the laptop and it connected easily and hooked me up to the internet in under 15 minutes .,"[('connected', 'pos')]"
"when i then moved the wire to the desktop and used the laptop wirelessly , the internet connection was just fine .","[('internet connection', 'pos')]"
"so if you are trying to use this router with two different operating systems , set it up using the computer that has the newest os and you 'll hopefully be successful .",[]
"once i had the internet working on both computers , i installed the software , shareport network usb , from the disk provided with the router .",[]
neither computer could see the printer in the usb port .,[]
"to rule out that it was a printer issue , i plugged a thumb drive into the usb port and neither computer could see that either .",[]
"i downloaded the newest version of shareport , tried it on both computers , no luck .",[]
"tried many combinations of rebooting the router , the modem , each computer , etc. .",[]
no luck .,[]
"i installed new firmware versions , one by one , on the router and kept trying .",[]
no dice .,[]
read many online forums .,[]
still no luck .,[]
tried beta firmware versions which were supposed to fix the problem .,[]
the computers never could see the usb port .,[]
our old router works with both windows 2000 and vista .,[]
"we were really just hoping to have the luxury of not having to physically move the laptop to the big , heavy printer every time we wanted to print a document .",[]
"however , shareport on this new router worked 0 % of the time .","[('shareport', 'neg')]"
we 're going to go back to our old router because some of the time is better than never .,[]
finally went wireless and this was the router i chose for my 2 story house .,[]
its a hit !,[]
"son is on ipod all the time , wife watching tv on laptop , me online gaming on desktop -lrb- i did increase my bandwith from my internet provider when i did this -rrb- all at the same time and you would never know the difference if they werent .",[]
"when i installed it i called my internet provider and they walked me through it , so dont feel like you need to know anything at all about installing one of these , cause you dont .",[]
all you need to know is this is what you need if you want to go wireless and you need to cover a good size home .,[]
this is the router for those who want to save some $ $ $ by not ` renting ' from a cable firm .,[]
"this is an outstanding product , one that lives up to the pr .","[('product', 'pos')]"
"my mom , -lrb- in her 70 's -rrb- bought this for herself , and as a gift to me - say goodbye to hard router set-up 's .",[]
"valet plus is easy to configure , and was set up in about 7 minutes .","[('valet plus', 'pos'), ('configure', 'pos')]"
the product pretty much set 's itself up - unlike other brands\/products .,[]
"the range is great - upstairs , downstairs , outside , or in a basement - four bars , all the time .","[('range', 'pos')]"
"if you are a bit shy about setting up a router\/network , this is the one for you .",[]
"the set-up is goof-proof , and offers a superior result .","[('set-up', 'pos')]"
super easy !,[]
-lrb- really -rrb- .,[]
i had a xycel x550 that i replaced with the d-link dir-655 .,[]
x550 was a fine router .,[]
just getting a little old .,[]
went with the dir-655 .,[]
worked fine .,"[('worked', 'pos')]"
"17 months later , it died .",[]
almost threw it away .,[]
probably like many others as i had no easy way to test the adapter .,[]
you ca n't just plug one adapter in to something else .,[]
especially due to the odd sized plug designed by d-link .,"[('plug', 'neg')]"
intentional ?,[]
you tell me ?,[]
tested it with a volt meter .,[]
dead .,[]
"so , i looked on line to buy one and guess what ?",[]
no one sells a 1.2 mm x 2.2 mm sized -lrb- or what ever stupid size it is -rrb- power adapter .,"[('size', 'neg')]"
"they made these small , i can only guess , because it is a possible revenue generator ?",[]
new ones are ~ $ 15 .,[]
and they will too likely die a short death as well .,[]
"in fact , i have never had a power adapter die before my actual product before .",[]
"so now , i will buy a - \/ + 12v 2.5 amp or 3amp power adapter or brick and splice this stupid sized end on it .",[]
d-links only recourse is to buy a new power adapter .,[]
nearly impossible to find one of this end size ... unless you buy their replacement product ... netgear or zyxel for me .,[]
do not buy \/ avoid,[]
i have owned the `` wndr3700 '' for about six months and it does a good job at 1 gbps direct connection and up to 300 mbps wireless .,[]
now they come out with the wndr4500 that offers 900 mbps .,[]
do n't cha just love the old technological trickle .,[]
as far as performance my very old linksys 54g worked fine with a strong signal and a solid 54 mbps wireless .,[]
i had no problem running my tv apps with it or using my laptop wirelessly .,[]
i mainly got the 3700 for the usb port that allows for bookoo storage on my network .,[]
"in another 6 mos they will surely come out with a router that will do 2000 mbps -lrb- not that they do n't already have it , they just do n't want to release it , , , , yet -rrb- and everybody will run to get one .",[]
fuhgetaboutit .,[]
"i fully understand that this is my opinion on the game that is played and not on the performance of this router or it 's worth so save me the comments on that if you would , please .",[]
i know you wo n't but i thought i 'd try .,[]
the software on the router is pretty good .,"[('software', 'pos')]"
"it 's easy to use , and it seems feature complete .","[('use', 'pos'), ('feature', 'pos')]"
"way more features than i 'll ever use , but nice to know they 're there if i ever want to twiddle .",[]
i 'd like to give it 4 or 5 stars .,[]
"the problem with this box is that it reboots several times an hour , if not more frequently .","[('reboots', 'neg')]"
"this is my experience , and it seems to be a common one .",[]
"it is infuriating , frustrating , and disruptive to my workflow .",[]
"it takes approximately 20 to 90 seconds to come back online -lrb- i have n't timed it -rrb- , which does n't sound that bad until you get nailed 10 times in one hour -lrb- that 's about as bad as it gets ; sometimes it goes for hours without rebooting -rrb- .","[('come back online', 'neg')]"
"according to various forums , lots of people have this problem -lrb- just google `` dir-655 rebooting '' -rrb- , and there does n't seem to be a consensus on a solution .",[]
"the solutions that worked seemed to involve black magic or pure luck , as they would work for one person would not work for another .",[]
"most people reported continued problems , even after getting a replacement from dlink .",[]
"yes , i have the newest firmware -lrb- i 've even reflashed it several times , just in case -rrb- .",[]
"i 'm running a minimal configuration , nothing fancy beyond password protecting the wireless .",[]
this happens when my laptop is the only computer on its network .,[]
i have not contacted dlink .,[]
"for now , i 've propped it up on its side to increase ventilation -lrb- one of hotly contested but ultimately unverified rumors is that the reboots are heat related -rrb- .",[]
we 'll see how it goes .,[]
"next , i 'll call comcast and see if they have any insight .",[]
-lrb- wireshark shows what seems to me to be an excessive amount of arp requests .,[]
could that be it ?,[]
i 'm not a networking expert by any means -rrb- .,[]
i recommend buying another product until this long running issue -lrb- i 've seen posts from 2007 -rrb- is resolved .,[]
i read most of the reviews and checked out others before i bought this one .,[]
it is everything people had reviewed this to be .,[]
very satisfied .,[]
i did buy the square trade extended warranty just in case .,[]
i got this with a windows 7 home premium 3-pack .,[]
"since it was really a giveaway from microsoft , i did n't expect much .",[]
however the setup was easy and the results excellent .,"[('setup', 'pos')]"
i have been dealing with wireless routers and access points for a long time -lrb- most recently with cisco\/linksys -rrb- and this was the easiest most efficient setup i 've ever experienced .,"[('setup', 'pos')]"
what a pleasure !,[]
and it works great too !,"[('works', 'pos')]"
"nice going cisco , you got it right .",[]
this thing is incredible and amazing best thing in the wolrd my ps3 and laptop aree now online i would buy over agian !!,[]
"<a�href=""http://www.amazon.com/gp/product/b004089h9s/ref=cm_cr_asin_lnk/178-2829810-0850226""> d-link dir-412 mobile wireless router 3g , 11n-based , 150mbps </a> i wanted to use my apple wifi ipad -lrb- non-3g model -rrb- while traveling but since most hotel rooms still require that you use a cat-5 rj-45 connection for their free internet this was not going to be of much use since the ipad does not have a rj-45 port .",[]
the ipad also does not have a usb port so i could n't use my verizon novatel usb760 3g usb dongle modem that i use with my laptop for those hotels without free internet service .,[]
i looked at the wifi hotspot type products but most of those require a 1-2 year contact and can cost up to $ 40-60 per month for the data service which adds up fast over a 12 month period .,[]
this device solves the problem nicely .,"[('device', 'pos')]"
it can be attached to the hotel cat-5 cable or can accept several different usb 3g modems to create a local wifi hotspot that the ipad or ipod type devices can use as well as my laptop using it 's wifi connection .,[]
setup is simple and it worked right out of the box .,"[('setup', 'pos')]"
if you want to set up security so that no one nearby can `` share '' your hotspot that can be done using the web browser interface common with all routers .,[]
speed tests showed that the wireless speeds were comparable to those of my home wireless router when using my home broadband cable modem as input .,"[('speeds', 'pos')]"
unfortunately my verizon 3g signal strength where i live is very weak -lrb- 1-2 bars -rrb- so i could n't get much more than 1 mbps download speed but i will test this again when i am in a location with decent signal strength .,"[('signal strength', 'neg')]"
