text,predictions
"whoever the jazz duo was, they were on point.","[('jazz duo', None), ('point', None)]"
one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.,"[('table', None), ('guests', None)]"
this place is a great bargain.,"[('place', None), ('bargain', None)]"
we happened upon this place purely by accident and were pleased with the results.,"[('results', None), ('place', None)]"
"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[('pits', None), ('food', None)]"
deff recimmend bukhara they also have opened two new locations guess ill try them out.,"[('new places', None), ('bukhara', None)]"
we always have a delicious meal and always leave feeling satisfied.,"[('meal', None), ('satisfied', None)]"
"dip the ingredients in with your chopsticks, swirl them around, and eat.","[('chopsticks', None), ('ingredients', None)]"
first went here to enjoy their garden terrace.,"[('garden terrace', None), ('garden', None)]"
"my husbands was perfect, my was well done and dry.","[('husbands', None), ('dry', None)]"
"everyone i have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","[('extra mile', None), ('customer', None)]"
the pizza was pretty good and huge.,"[('pizza', None), ('size', None)]"
sapphire is the only indian restaurant i go to when i'm in nyc.,"[('indian restaurant', None), ('sapphire', None)]"
"the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.","[('cuisine', None), ('taipei', None)]"
i heartily recommend.,"[('i heartily recommend', None)]"
heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones.,"[('heartland brewery', None), ('places', None)]"
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,"[('atmosphere', None), ('food', None)]"
they are often crowded on the weekends but they are efficient and accurate with their service.,"[('service', None), ('weekends', None)]"
all my co-workers were amazed at how small the dish was.,"[('dish', None), ('co-workers', None)]"
"the atmosphere is unheralded, the service impecible, and the food magnificant.","[('service', None), ('atmosphere', None), ('food', None)]"
"we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","[('special', None), ('grilled branzino', None)]"
"the wait staff is friendly, and the food has gotten better and better!","[('wait staff', None), ('food', None)]"
"this place, which is only a few months old, is perhaps queens' biggest secret!","[('secret', None), ('place', None)]"
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.","[('vibe', None), ('french food', None)]"
this place is so much fun.,"[('place', None), ('place', None)]"
i was glad i did.,"[('i', None), ('a', None)]"
right off the l in brooklyn this is a nice cozy place with good pizza.,"[('pizza', None), ('place', None)]"
i've never been treated so rudely.,"[('treated', None), ('rudely', None)]"
i'll be back soon.,"[(""i'll be back"", None)]"
le pere pinard has a $15 pre-theater menu that is outstanding.,"[('pre-theater menu', None), ('le pere pinard', None)]"
went inside and i started to get excited.,[]
i also ordered for delivery and the restaurant forgot half the order.,"[('delivery', None), ('restaurant', None)]"
our server checked on us maybe twice during the entire meal.,"[('meal', None), ('server', None)]"
"however, it is jus too good to not praise it.",[]
we have been to montparnasse many times and return often for good reason.,"[('reason', None), ('montparnasse', None)]"
the strong scents coming from the left and right of me negatively affected my taste buds.,"[('smells', None), ('taste buds', None)]"
we had the lobster sandwich and it was fantastic.,"[('lobster sandwich', None), ('experience', None)]"
it's somewhere you can eat and be happy.,"[('eat', None), ('food', None)]"
"if you wrote a bad review, it's because you don't understand what rao's is all about.","[('rao', None), ('review', None)]"
"had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","[('check', None), ('waiting', None)]"
but overall i give it a 10,[]
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[('spider roll', None), ('soft shell crab', None)]"
deep fried skewers are good and still rare to find in nyc.,"[('deep fried skewers', None), ('nyc', None)]"
"i have tried to make reservations, but both times, the hostess didn't have my name.","[('hostess', None), ('reservations', None)]"
i also recommend the rice dishes or the different varieties of congee (rice porridge).,"[('rice dishes', None), ('congee (rice porridge)', None)]"
their tuna tartar appetizer is to die for.,"[('tuna tartar appetizer', None), ('tuna tartar appetizer', None)]"
this was one of the best restaurants i've ever been to.,"[('restaurants', None), ('cuisine', None)]"
this restaurant used to be pretty decent.,"[('restaurant', None), ('time', None)]"
"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","[('soups', None), ('chef', None), ('fish dishes', None), ('american fine cuisine', None), ('food', None)]"
"if you love wine and cheese and delicious french fare, you'll love artisanal!","[('french fare', None), ('wine and cheese', None)]"
i love indian food and consider myself to be quite an expert on it.,"[('indian food', None), ('expert', None)]"
some baby pizzas get their wish.,"[('pizzas', None), ('wish', None)]"
plenty of choices to make your own creation.,"[('choices', None), ('creation', None)]"
it was tiny and i felt like i was eating in someone's living room.,"[('room', None), ('food', None)]"
i was there on sat.,"[('sat', None), ('food', None)]"
overall a oh ya even though there is waiting it is deff worth it,"[('waiting', None), ('food', None)]"
the lava cake dessert was incredible and i recommend it.,"[('lava cake dessert', None), ('ice cake dessert', None)]"
vt is what baby pizzas hope to be when they grow up.,"[('pizzas', None), ('vt', None)]"
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","[('service', None), ('managers', None), ('food', None)]"
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,"[('lahore', None), ('food', None)]"
the last time i went we were seated at a table in a corridor next to the kitchen.,"[('kitchen', None), ('table', None)]"
good selection of wines ranging from affordable to high end.,"[('selection of wines', None), ('end', None)]"
"nice restaurant overall, with classic upscale italian decor.","[('decor', None), ('italian restaurant', None)]"
not impressed with the food.,"[('food', None), ('atmosphere', None)]"
the entire dining experience was wonderful!,"[('dining', None), ('dining experience', None)]"
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,"[('wine selection', None), ('glass and bottle', None)]"
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"[('service', None), ('maitre', None), ('reservation', None)]"
"order the panang duck, it's fantastic.","[('panang duck', None), ('order', None)]"
"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.","[('vegatables', None), ('food', None)]"
"other than the crappy service from two individuals, it's great.","[('service', None), ('individual', None)]"
what more can you ask for?,"[('a', None), ('b', None)]"
wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,"[('lines', None), ('establishment', None)]"
they have authentic indian at amazin prices.,"[('prices', None), ('indian', None)]"
you are treated just like royality.,"[('royalty', None), ('treated', None)]"
"there's nice and quiet, small but enough for 6 (or more).",[]
ambiance- relaxed and stylish.,"[('ambiance', None), ('steak', None)]"
i've never felt more unwelcome than last month at jimmy's bronx cafe.,"[('bronx cafe', None), ('i', None)]"
"luckily we saved room for the bbq salmon, sea bass and crispy duck.","[('duck', None), ('bbq salmon', None), ('sea bass', None)]"
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","[('crust', None), ('pizza', None), ('ingredients', None)]"
"looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).","[('wall', None), ('waiting', None)]"
and yes dal bukhara is so dam good and so are all the kababs.,"[('kababs', None), ('dal bukhara', None)]"
i look forward to eating here again,"[('eat', None), ('food', None)]"
i've been coming here as a child and always come back for the taste.,"[('taste', None), ('a child', None)]"
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"[('meal', None), ('price', None)]"
"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.","[('mussels', None), ('glass of prosecco', None)]"
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","[('sugar', None), ('creme brulee', None), ('food', None)]"
the food always tastes fresh and served promptly.,"[('served', None), ('food', None)]"
i know because i live nearby.,"[('i', None), ('place', None)]"
the pizza here is delicious.,"[('pizza', None), ('pizza', None)]"
my entire family was horrified.,"[('family', None), ('s', None)]"
on a monthly basis my friends and i get together and have a girls night out.,"[('night out', None), ('girl', None)]"
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!","[('pizza', None), ('delivery', None)]"
"for great chinese food nearby, you have wu liang ye and grand sichuan just a block away.","[('chinese food', None), ('wu liang', None)]"
but who says murray's is anything about service.,"[('service', None), ('murray', None)]"
"this place is really trendi but they have forgotten about the most important part of a restaurant, the food.","[('place', None), ('food', None)]"
i have never been disappointed in the red eye.,"[('red eye', None), ('person', None)]"
hats off to the chef.,"[('chef', None), ('hats', None)]"
this should have been done in a back room - away from customers.,"[('back room', None), ('customers', None)]"
"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","[('service', None), ('teapot', None)]"
glad you have the luxury to throw out paying customers.,"[('luxury', None), ('customers', None)]"
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[('pizza', None), ('mozzarella', None), ('shredded cheese', None)]"
its an excellent place to relax and the food is one of the best in the city of new york.,"[('place', None), ('food', None)]"
"service is friendly, and never had a problem walking in and getting a table.","[('service', None), ('table', None)]"
the atmosphere was crowded but it was a great bistro-type vibe.,"[('vibe', None), ('atmosphere', None)]"
check it out,"[('check', None)]"
"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","[('tables', None), ('waitress', None)]"
don't go.,"[('go', None), ('s', None)]"
the food was bland oily.,"[('food', None), ('oily', None)]"
but they do.,"[('eat', None), ('they do', None)]"
"what is even better, is that the prices are very affordable as well, and the food is really good.","[('prices', None), ('food', None)]"
the fish is fresh but the variety of fish is nothing out of ordinary.,"[('variety of fish', None), ('fish', None)]"
look i dont know if the people who wrote the reviews have ever been to a decent place (please try someother places).,"[('reviews', None), ('people', None)]"
suan has challenged this loyalty.,"[('loyalty', None), ('suan', None)]"
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","[('pesto pizza', None), ('meal', None), ('house salad', None)]"
"and kruno, the beverage manager is the best bartender i have yet to come across.","[('bartender', None), ('beverage manager', None)]"
"ambiance and music funky, which i enjoy.","[('ambiance', None), ('music', None)]"
"the food, drinks and service are clearly among the best in the city.","[('service', None), ('drinks', None), ('food', None)]"
i went there in late afternoon for some bite size food and refleshment with my date.,"[('food', None), ('afternoon', None)]"
"it's a really great deal, considering we got full off of four dollars.","[('dollars', None), ('dinner', None)]"
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","[('waiters', None), ('service', None), ('area', None), ('food', None)]"
went with mommy (the only person who could afford taking me here).,"[('mommy', None), ('a place', None)]"
my friends and i were on vacation in ny and was referred to chance by a friend.,"[('chance', None), ('vacation', None)]"
"last time i went here, the waitress didn't come back after taking our order.","[('waitress', None), ('order', None)]"
try the tandoori salmon!,"[('salmon', None), ('tandoori', None)]"
"i am completely hooked on this place, it is ridiculous.","[('place', None), ('place', None)]"
"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[('atmosphere', None), ('desk', None)]"
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","[('service', None), ('space', None)]"
"have recommended the place to friends, always gets good response.","[('place', None), ('response', None)]"
we will return many times for this oasis in mid-town.,"[('oasis', None), ('mid-town', None)]"
i love the atmorphere @ peep!,"[('peep', None), ('atmorphere', None)]"
enjoy!,"[('eat', None), ('enjoy', None)]"
we weren't!,"[('n', None), ('a', None)]"
this is one of my favorite restaurants and it is not to be missed.,"[('restaurants', None), ('food', None)]"
(la rosa is connected by a swinging door to the mexican restaurant pacifico).,"[('door', None), ('mexican restaurant', None)]"
it could have been handled better.,"[('handled', None), ('food', None)]"
the service was attentive and her suggestions of menu items was right on the mark.,"[('service', None), ('menu items', None)]"
the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of.,"[('course meal', None), ('plate', None)]"
please be aware that it's cash or amex only!,"[('cash', None), ('amex', None)]"
"even after getting pushed out by the no-class famous ray's, sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the outstanding pizza!","[('pizza', None), ('ray', None)]"
it's a rather cramped and busy restaurant and it closes early.,"[('restaurant', None), ('time', None)]"
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","[('service', None), ('environment', None), ('food', None)]"
"we had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.","[('crawfish boiled', None), ('mess', None)]"
i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,"[('reservation', None), ('place', None)]"
they were served warm and had a soft fluffy interior.,"[('interior', None), ('served', None)]"
what came to our table was burned beyond recognition and stringy.,"[('table', None)]"
i had the pad thai and the noodles were sticky.,"[('pad thai', None), ('noodles', None)]"
"so i've never actually been to m proper, but i've had it delivered a few times.","[('delivered', None), ('m', None)]"
"among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.","[('new 5th avenue', None), ('values', None)]"
"frankly, when you compare what you can have here for lunch, versus mcds or so many other sandwich shops in the city, there is no comparison.","[('lunch', None), ('sandwich', None)]"
the hostess is rude to the point of being offensive.,"[('hostess', None), ('room', None)]"
"if you're craving for haru's great food, especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!","[('bar', None), ('food', None)]"
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","[('entrees', None), ('counters', None), ('corridor', None), ('space', None)]"
the food is great.,"[('food', None), ('quality', None)]"
succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,"[('sides', None), ('succulent steaks', None), ('salads', None)]"
"lunch came with pickels and slaw, no extra charge.","[('lunch', None), ('slaw', None)]"
decent wine at reasonable prices.,"[('prices', None), ('wine', None)]"
all conveniently delivered right to the door.,"[('door', None), ('delivered', None)]"
even the wine by the glass was good.,"[('wine by the glass', None), ('wine', None)]"
nice family owned traditional restaurant.,"[('family', None), ('restaurant', None)]"
would have rather tried terrace in the sky or water club for that price,"[('price', None), ('terrace', None)]"
this dish is my favorite and i always get it when i go there and never get tired of it.,"[('dish', None), ('time', None)]"
"i also ordered the change mojito, which was out of this world.","[('change mojito', None), ('order', None)]"
okay service.,"[('service', None)]"
the only thing more wonderful than the food (which is exceptional) is the service.,"[('service', None), ('food', None)]"
we were very pleasantly surprised.,"[('reassuring', None), ('food', None)]"
"the food was just awful, atrocious actually.","[('food', None)]"
i will never visit this restaurant again.,"[('restaurant', None), ('wait', None)]"
the soup for the udon was soy sauce and water.,"[('soup', None), ('soy sauce', None), ('udon', None)]"
"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","[('filling pasta mains', None), ('calamari', None), ('anti-pasta', None)]"
the waitress suggested glasses of wine that went very well with the food.,"[('glasses of wine', None), ('food', None), ('waitress', None)]"
"(or sister, in my case!).","[('sister', None)]"
i've eaten at many different indian restaurants.,"[('indian restaurants', None), ('food', None)]"
"they might be all business at the counter when you give your order, but their food says i love you.","[('counter', None), ('food', None)]"
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","[('crab dumplings', None), ('rolls', None), ('banana tempura', None), ('sushi', None)]"
try their plain pizza with fresh garlic or eggplant.,"[('pizza', None), ('garlic or eggplant', None)]"
don't go there!,[]
"ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.","[('crowd', None), ('servers', None)]"
good luck getting a table.,"[('table', None), ('waiting', None)]"
"we picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.","[('a', None), ('selection', None)]"
don't look down your nose at me like that...,"[('nose', None)]"
planet thai is great!,"[('thai', None), ('planet', None)]"
the service is awful.,"[('service', None), ('food', None)]"
just don't do it.,[]
just ignore the trendy wannabes.,"[('wannabes', None), ('wannabes', None)]"
"the takeout menu says to keep an eye out for an expanded menu offering more italian dishes, i can't wait!","[('italian dishes', None), ('takeout menu', None)]"
"trust me, it will be great, and all of it will be devoured in no time.","[('time', None), ('food', None)]"
my girlfiends and i ate at o.g. again last night.,"[('girlfiends', None), ('eat', None)]"
i wish they had one near my office- i would go everyday.,"[('office', None), ('one', None)]"
finally!,"[('final', None)]"
amma has the worst value for money i have experienced in nyc over the past 2 years.,"[('value', None), ('money', None)]"
"i am not the most experienced person when it comes to thai food, but my friend who took me there is.","[('thai food', None), ('experience', None)]"
i think this would be a pretty good spot if it were not so overpriced and overrated.,"[('spot', None), ('spot', None)]"
regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes.,"[('hostess', None), ('name', None)]"
the pizza is good though.,"[('pizza', None)]"
bottles of wine are cheap and good.,"[('bottles of wine', None), ('price', None)]"
you will not be disapointed at all.,"[('a', None), ('b', None), ('n', None)]"
walk-ins are risky too.,"[('walk-ins', None), ('risk', None)]"
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.","[('dish', None), ('food', None), ('pumkin tortelini', None)]"
they didn't give us the dinner special until we asked for it.,"[('dinner special', None), ('dinner', None)]"
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,"[('crabmeat lasagna', None), ('dessert', None), ('chocolate bread pudding', None)]"
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.","[('pasta dishes', None), ('tiramisu', None)]"
very good service and very good prices.,"[('prices', None), ('service', None)]"
i recently went to this restaurant with some co-workers for lunch and had an amazing time.,"[('time', None), ('lunch', None)]"
"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","[('staff', None), ('service', None), ('menu', None), ('meal', None)]"
ess-a-bagel (either by sty-town or midtown) is by far the best bagel in ny.,"[('ess-a-bagel', None), ('midtown', None)]"
our food was great too!,"[('food', None), ('atmosphere', None)]"
open late (well as late as i ever got there and i'm a night person),"[('person', None), ('open', None)]"
"the most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.","[('revenue', None), ('servers', None)]"
"get your food to go, find a bench, and kick back with a plate of dumplings.","[('dumplings', None), ('food', None)]"
"please try the filet mignon, its just the most tender piece ever.","[('filet mignon', None), ('piece', None)]"
"everything we had was pretty good, but we have only been there once.",[]
"we were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.","[('bartender', None), ('sangria', None)]"
something about them being busy with holiday party's.,"[('party', None), ('holiday', None)]"
the sake menu should not be overlooked!,"[('sake menu', None)]"
i would highly recommend.,"[('i', None), ('a', None)]"
this place is great.,"[('place', None), ('place', None)]"
the drinks are amazing and half off till 8pm.,"[('drinks', None), ('8pm', None)]"
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,"[('beef cubes', None), ('beef', None)]"
"with so many poor experiences to be had in the theater district, is truly an excellent find!","[('theater district', None), ('experiences', None)]"
this has got to be one of the most overrated restaurants in brooklyn.,"[('brooklyn', None), ('restaurants', None)]"
"the service, wine selection, ambiance are all outstanding and deserve recognition.","[('service', None), ('wine selection', None), ('ambiance', None)]"
"went there last night for 2 year anniversery, and wasn't all that impressed.","[('anniversery', None), ('place', None)]"
it was rather pathetic that it took them over an hour to seat us.,"[('seat', None), ('time', None)]"
"we were seated promptly as we had reservations, however after that the service was slow.","[('service', None), ('reservations', None)]"
at first i was slightly skeptical because it was a sushi restaurant in the middle of nyc.,"[('sushi', None), ('middle', None)]"
"it's really also the service, is good and the waiters are friendly.","[('waiters', None), ('service', None)]"
suan was a recommendation that i am glad we heeded.,"[('heed', None), ('recommendation', None)]"
"the food was pretty good, but a little flavorless and the portions very small, including dessert.","[('portions', None), ('food', None)]"
we visit at least once a month.,"[('a', None), ('visit', None)]"
"it is set far from the small street it's on, and there is no traffic noise.","[('noise', None), ('street', None)]"
"also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them.","[('place', None), ('wild animals', None)]"
i'll keep this short.,[]
i felt as though i were eating in paris.,"[('paris', None), ('food', None)]"
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.,"[('green bo', None), ('food', None)]"
"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.","[('service', None), ('ambience', None), ('food', None)]"
"however, it's not worth a special trip.","[('trip', None), ('place', None)]"
nice value.,"[('value', None)]"
gigino's in wagner park is so enjoyable.,"[('wagner park', None), ('gigino', None)]"
and it was quick which is very important.,[]
