text,labs
it has a .1 ghz faster processor and a stock 500gb hard drive.,"[('drive', None), ('processor', None)]"
i had the computer for a full year and it was a new computer.,[]
it was also cheaper than the pro which made it even more appealing to me.,[]
"typically, when i purchase a new laptop i always end up using an external mouse for convenience.","[('laptop', None), ('mouse', None)]"
consumer report recommended toshiba.,[]
this computer literally takes about five minutes to start up and to be able to use without it crawling and i do mean crawling.,"[('computer', None)]"
my next laptop will also be a mac!,"[('laptop', None)]"
"taking notes, research, an online class and such and didn't want to spend too much on my first machine.","[('machine', None), ('class', None)]"
"when i got this laptop in 2007 to help me with school, i had a hard time from beginning.","[('time', None), ('school', None)]"
"it was a great laptop, ran great and was really fast.","[('laptop', None)]"
my review mainly talks about the difference i have felt between an early 2011 and late 2011 mac book pro.,"[('mac book pro', None), ('review', None)]"
it's slow and one day i hope to have the money to get rid of it and buy something else.,"[('money', None)]"
"all the programs are easy and straight forward on my macbook pro, it is clean and organized, which i always strive to be myself.","[('macbook', None), ('programs', None)]"
i love to write and play with graphics and html programming and my new toshiba works great on both!,"[('html programming', None), ('toshiba', None), ('graphics', None)]"
"the mac takes about the same amount of starting-up time as the average pc, but keeps itself cleaned up and ready to use.","[('time', None), ('pc', None)]"
"if anything, i would only suggest using one of these laptops if only you have to.",[]
i sit down and use my husband's work pc and i don't like it one bit.,"[('bit', None), ('pc', None)]"
"and the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!","[('offer', None), ('printer', None)]"
"the flaws are, this computer is not for computer gamers because of the os x.","[('computer', None)]"
they claim that i should be happy because i am getting a new laptop to replace my two-month old laptop.,"[('laptop', None)]"
i have owned many different brands of laptops in my life.,"[('laptops', None), ('brands', None)]"
tons of bloatware and junk programs.,[]
the processor is very quick and effective as i load webpages and applications.,"[('processor', None)]"
"i will never buy (refurbished) again, i don't cae how cheap it is.",[]
"so, owing to these problems, i went out and got myself an apple macbook pro, which i am using with great satisfaction at this very moment.","[('satisfaction', None)]"
"so, if you're thinking of a laptop, i would heartily recommend theapple 13.3 macbook pro notebook computer (z0j80001) notebook for all your needs!","[('notebook computer', None)]"
i my wife is also now the proud owner of a macbook as well!,"[('wife', None), ('macbook', None)]"
"if you need an affordable, entry-level laptop, this will fit the bill.","[('level laptop', None), ('bill', None)]"
i still have that stupid bluetooth mouse to!,"[('bluetooth mouse', None)]"
"i got it back again and was told the motherboard had been replaced, so i was now on the second motherboard within 3 months.",[]
2nd best computer in the world only one way this computer might become the best is that it needs to upgreade patches to make less easier for people to hack into,"[('way', None), ('computer', None), ('world', None), ('people', None), ('patches', None)]"
"a month later, we reinstall the os (vista).",[]
it is her first laptop and she is thrilled.,"[('laptop', None)]"
if this would be your first mac purchase then i would highly suggest that you take advantage of the class that they offer to learn about the differences between mac and pc's.,"[('differences', None)]"
i bought this laptop so that the entire family had a computer in the living room;,"[('family', None)]"
"well, i bought this laptop a month or two ago.",[]
the large screen also helps when you are working in design based programs like adobe creative suite.,"[('suite', None), ('programs', None), ('screen', None)]"
the only pro to this computer is it was under $600!,"[('computer', None), ('pro', None)]"
"after 3 pleasant weeks of use, the laptop just died.","[('laptop', None), ('use', None)]"
if you want more information on macs i suggest going to apple.com and heading towards the macbook page for more information on the applications.,[]
i bought this laptop for my son in 2007 for his christmas present.,[]
i was said it's videocard.,[]
i took the computer into best buy where i purchased it and they kept it over night to study it.,[]
"if your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.","[('time', None), ('change', None), ('drivers', None)]"
the only thing i wish is the 15 inch macbook pro has much better speakers on the side of the keyboard.,"[('thing', None), ('inch macbook pro', None), ('speakers', None)]"
"no laptop is perfect, but sometimes you just find a computer that works for you.","[('laptop', None)]"
i was tired of going without my laptop every few weeks.,[]
i'v spent as much for shipping as i would to buy a new netbook -- of course a different brand.,"[('shipping', None), ('netbook', None), ('brand', None)]"
"when you look at the specs on apple products in comparison to a dell or a hp, yes they do seem to offer less for a higher cost.",[]
"the computer continued to give me issues and in late june it completely died again and i tried to call acer again to get it fixed and they refused to help me, they said my warrenty was up and hung up on me.","[('computer', None), ('warrenty', None), ('june', None)]"
i've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,"[('laptop', None), ('plastic piece', None)]"
"prior to this computer, i owned a powerbook g4 for 6 years (quite a long time for a laptop).","[('computer', None), ('time', None), ('laptop', None)]"
the advantages of owning 'a 'mac are numerous.,[]
i dont understand why i spent twice as much to get a laptop rather than a desktop when my lap top is completely immoble.,"[('lap top', None), ('laptop', None), ('desktop', None)]"
"despite the plethora of problems, i managed to use technological trickery to keep the machine operational for two years.","[('machine', None)]"
"i had my iworks, itunes, email, ms office, network and printers set up and completely working perfectly within an hour.",[]
") i also purchased applecare for $300, which is a three year extended warranty, since i ve never seen any laptop that lasted more than two.",[]
i definitely will buy a mac again if and when this computer ever fails.,"[('mac', None)]"
i had never owned a mac before;,[]
i returned the computer to hp and they kept it for 3 months.,[]
"i have never had it crash, randomly turn off,",[]
ive owned apple computers and laptops for as long as i could remember.,[]
i had the bulk of problems with my lap top within the first six months.,[]
with what i paid for this computer it should have had everything on it.,[]
i went to my local best buy looking for a new laptop since mine broke.,"[('laptop', None)]"
"not a bad laptop, it's a bit slow, but gets the job done.",[]
this a starter notebook.,[]
"if you can afford a new laptop, and are in the market for one, of course, then definitely go for this.","[('laptop', None)]"
got the computer back a month later and it was still broken sent it out again and they repaired it.,[]
i love ths notebook.,[]
this is not a serious gaming laptop or a serious media machine;,"[('media machine', None), ('gaming laptop', None)]"
"even if apple replaces whatever needs replacing i wonder if, since i seem to be doubling the amount of time i get out of it each time it's ""like new,"" i might have 8 months next time.","[('apple', None)]"
i got this laptop on black friday.,"[('friday', None)]"
and it comes with the new osx that comes with new features that makes the use more easy.,"[('osx', None), ('use', None), ('features', None)]"
my wife also has problems with her asus - different model.,"[('wife', None), ('model', None)]"
both computers started acting extremely slow within the first year of owning them.,[]
"bought from wal-mart, i believe that this laptop was a repaired item.",[]
i am finding my way around this laptop better than my last one.,"[('one', None)]"
"they told me it was my loss even though it was the computer, not what i've done.",[]
"about 2 months ago i bought the 2011 macbook pro, which was an upgrade from my 2010 macbook pro.",[]
"*4 weeks after giving the computer for repair*-annoyed at machouse amsterdam, decided to send complaint email to apple.","[('repair', None), ('email', None), ('apple', None), ('machouse amsterdam', None)]"
i returned the 2nd laptop for a full refund.,"[('laptop', None)]"
really no problems with the hand me down computers i received from my children.,"[('hand', None)]"
"posted nov 8, 2010 - two weeks ago i bought this notebook.",[]
the so called laptop runs to slow and i hate it!,"[('laptop', None)]"
"this is the first laptop i've owned, althougth i used several at my previous job.","[('job', None), ('laptop', None)]"
best buy ended up junking the computer and giving me a replacement computer.,[]
stopped booting up less than a week after my one-year warranty was up.,[]
i have used a computer at work but having your own personal laptop is awsome!,"[('laptop', None)]"
"buy this if you like being tortured, teased, frustrated and wasting twice as much time as you spent using your old mac.","[('time', None), ('mac', None)]"
i constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.,"[('services', None), ('laptop', None)]"
no viruses.,[]
it is everything that i would want in a computer.,"[('computer', None)]"
do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,"[('harddrives', None)]"
i give this laptop a five star review i love it and it has done chams for me.,[]
they removed them and returned the computer to me.,[]
"i've saved a lot of time and headaches so far, using my new macbook pro.","[('macbook pro', None)]"
-apple offers to send replacement and after 10 days i send them the old computer.,"[('replacement', None), ('computer', None)]"
"i spent 2200 dollars on a ""top of the line laptop"".",[]
"the newer black keyboard took a little bit away from the previous gray one which looked really slick, but it is still a great notebook!","[('bit', None), ('one', None), ('keyboard', None)]"
"as with any laptop not purchased with software options, it comes with a lot of what i consider useless applications.","[('laptop', None), ('applications', None)]"
i'm having the laptop returned unrepaired since paying $176 every 3 months just isn't worth it (that's about how long the port seems to last).,"[('laptop', None)]"
with in weeks of purchasing my computer is began to slow down.,[]
i've had this laptop for about a month now.,[]
returned laptop for a 3rd repair and it came back with previous problems fixed (except for speaker grill) but the unit started locking up during use and eventually would not operate at all.,"[('repair', None), ('laptop', None)]"
"overall, i experienced a huge change in that my mac runs pretty fast compared to my old pc.","[('pc', None), ('change', None), ('mac', None)]"
"in those three years, i've had a couple of minor problems and both were resolved by apple quickly and easily.","[('couple', None)]"
"i was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.","[('graphics cards', None), ('line', None)]"
they are by far the easiest systems to actually learn about computers with.,"[('computers', None)]"
finally set the unit back to hp after a month of hell.,"[('hp', None)]"
"i couldn't afford a new mac, so i bought a pc instead.","[('mac', None)]"
despite the claims of the apple apologists (a vice of which i am recently myself reformed) the internals of mac laptops are no different from pcs' at this point.,"[('mac laptops', None), ('pcs', None), ('claims', None), ('point', None), ('internals', None)]"
numerous problems over the next 3 weeks until i got the blue screen of death and had to send the pc back to hp.,"[('hp', None), ('pc', None), ('screen', None)]"
i found this laptop on sale for under 6000 at best buy which was a great deal!,"[('deal', None)]"
i got my macbook pro because i wanted to do all the stuff i need to do without worrying about the system quitting on me or freezing for a few minutes.,"[('macbook', None), ('stuff', None)]"
i have used pc's and converting to this macbook pro was easy.,[]
"if what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.","[('surfing', None)]"
i am sorry that i purchased this laptop.,[]
"i needed a new computer for graduate school (had never owned a laptop before), and the only reason i didn't purchase a mac was because my school's website strongly recommended students purchase pcs.","[('reason', None), ('pcs', None), ('graduate school', None), ('computer', None), ('mac', None), ('website', None)]"
"i have had another mac, but it got slow due to an older operating system.",[]
"i'ts nice to have the higher-end laptops, but this fits my budget and the features i need.","[('end laptops', None), (""i'ts"", None)]"
"was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems.",[]
"purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.","[('laptop', None)]"
i ordered four d620 laptops.,[]
i love the multi-touch trackpad.,"[('trackpad', None)]"
"not too much ""junk"" software to remove.","[('software', None)]"
"the difference in the apple keyboard from a pc's keyboard took a bit of tim to get used to, but overall it's worth it!","[('difference', None)]"
the extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.,"[('purchase', None), ('warranty', None), ('menu', None)]"
"only issue is that it is a little slow, and i'm fixing that by adding more ram.",[]
"if i have a few hundred dollars to spare, i'd buy the pro line though, the 2.53 and 2.66 ghz model.","[('line', None), ('ghz model', None)]"
i love it and will probably get another one when this goes to the laptop in the sky!!,"[('one', None)]"
"take the simple, easy solution to your computer problems and stop waiting and smacking your old computer around.","[('computer problems', None), ('solution', None)]"
love that it doesn't take up space like a regular computer.,"[('computer', None), ('space', None)]"
i was very excited because this was my first personal computer and i was purchasing it with my own money i had recieved from graduation presents.,"[('money', None)]"
basic computer.,"[('computer', None)]"
i would totally recommend any other laptop over this pile of grabage.,"[('pile', None), ('laptop', None)]"
i should have bought one a long time ago.,"[('time', None)]"
when i took it back to best buy i asked them if they were seriously trying to drive me insane!,[]
it was returned on the third day i owned it.,[]
this laptop rocks (only wish it could run solidworks cad - which apple doesn't support)!,"[('apple', None), ('solidworks cad', None)]"
and i would recommend this to anypne looking for a new laptop.,"[('laptop', None)]"
"i saw walmart had the same computer for about $650 but still knowing what i know now,i would not buy it at that price.","[('computer', None), ('price', None)]"
it has had some problems.,[]
"theres always something wrong with it, wether it be some virus you can't track down, or it overheats, sometimes even catches on fire, you just can't use it.",[]
"i waited another month for approval and for them to ""build"" me a new laptop.","[('laptop', None)]"
"finally, i couldn't take it anymore and ordered my apple.",[]
"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.","[('system', None), ('mac', None), ('learning', None)]"
"you know, using the computer should be fun, not aggrevation, especially when you are playing games or working with photos.","[('aggrevation', None)]"
i never have had a good result with this computer.,"[('computer', None), ('result', None)]"
"however, a netbook will be a different story.","[('netbook', None)]"
"i'm glad i bought this laptop, it was worth the few ($100) extra dollars.","[('dollars', None)]"
"the difference is it's a whole lot of fun using the laptop now, still learning the apple navigation, but is fun and comes with a lot of cool apps.","[('difference', None), ('lot', None), ('apps', None)]"
"after years of occasionally pulling my hair out fighting computer viruses, a good friend convinced me it was time to go the apple route.","[('friend', None), ('apple route', None)]"
"however, this laptop has a fatal flaw that i discovered merely a week after buying it.","[('laptop', None)]"
it was a huge monstrosity of a laptop!,"[('laptop', None)]"
-i propose that they can just swap the hard drives.,"[('drives', None)]"
"one, owning a mac is essentially a full production studio (in the case of a mac book a portable version).","[('version', None), ('case', None)]"
i would like to tell you about the best laptop i just got from mac.,"[('laptop', None)]"
"and in 6 months, there have been no freezing up and no blue, purple, black or any other type of screen.",[]
think i would spend little extra to get a better made laptop.,"[('laptop', None)]"
its been a year and am still waiting to see what there going to do about my laptop.,"[('laptop', None)]"
i bought it to use in college and it is perfect.,"[('college', None)]"
"i wouldn't play a first-person shooter with this, mind, but if you wanted to run ms office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, i'd highly recommend checking this out.","[('music store', None), ('video', None), ('netbook', None), ('person shooter', None), ('ms office', None)]"
this is not best buy's fault.,[]
i have recommended this laptop to everyone i know who is buying one.,[]
thank you best buy for putting my computer together and installing my first software - you guys were great too!,"[('software', None), ('guys', None)]"
so not having my laptop was discouraging.,[]
again i sent it back and they replaced the motherboard and some fan inside.,[]
i especially appreciate the fact that it has almost zero viruses and spyware problems!,[]
"so? how can you solve it? c'mon, i just bought the netbook 2 weeks ago.",[]
i have had my macbook for almost 6 months and can honestly say that i will never buy another computer if it is not a mac.,"[('computer', None)]"
i could not handle it one hand like i can the replacement computer i purchased.,[]
the computer was shipped to their repair depot on june 24 and returned on july 2 seems like a short turn around time except the computer was not repaired when it was returned.,"[('time', None), ('turn', None)]"
"it had a seventeen inch screen which i wanted, but i didn't realize at the time it would be such a monster!","[('time', None)]"
this is what a laptop is supposed to be.,[]
i purchased two laptops (for my husband and 16 year old daughter).,"[('husband', None), ('daughter', None)]"
"while i mostly use it for email, internet and gaming, i'm confident all other applications live up to the high standard i've come to appreciate from mac laptops.","[('mac laptops', None), ('applications', None), ('standard', None)]"
i've been having endless problems since i bought the computer - only 1 month ago,[]
"so far, it's an average laptop - no better, no worse than the hp i replaced.",[]
good for every day computing and web browsing.,[]
"unfortunately, the laptop i purchased was also a dell and again, i have to say i hated it.","[('laptop', None)]"
"other than that, i would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.","[('laptop', None), ('gaming capabilities', None)]"
they have more problems then a 1980's computer.,[]
my first laptop was an acer that i got for christmas.,"[('laptop', None), ('acer', None)]"
"i chose the ibookg4, a laptop that is an attractive computer with a large screen big enough to please anyone.","[('computer', None), ('screen', None)]"
i dual boot with linux and that other security-prone os and it performs flawlessly.,"[('os', None)]"
